Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Train_F1,Val_F1,Epoch
0.42720532873580713,0.8774530260127368,0.37082536347973893,0.878731343283582,0.0,0.0,1
0.3691326781761631,0.877479776599762,0.3664514723528962,0.8782538202271533,0.0,0.0,2
0.3611541281402385,0.8774931518371496,0.3500963159037142,0.8782538202271533,0.0,0.0,3
0.3432423045428562,0.8774664012501244,0.3280250518074867,0.8777762971707245,0.0,0.0,4
0.3224298175064137,0.8775332776615624,0.3042623001007085,0.8770544600130906,0.0,0.0038387715930902114,5
0.2853440355512591,0.89158534498538,0.23411298996568147,0.9185989694808846,0.26472349770413256,0.5105782792665726,6
0.22814745848647222,0.9225410888648528,0.19636416896493192,0.937488894854019,0.5920297720576833,0.6833333333333335,7
0.20588824285268642,0.9318556326481806,0.18671633931857537,0.9383884152369713,0.6504531722054382,0.6878048780487805,8
0.19701886268670646,0.9338993751172068,0.18210595949378536,0.9416866560480488,0.6657734107488462,0.6990291262135921,9
0.18923676130474282,0.9373849725768166,0.17687548801776798,0.9440298507462687,0.6861443116423197,0.7136038186157517,10
0.18367198774747498,0.9393725389590146,0.17190512025594992,0.9449404762752021,0.6998104679982505,0.7314814814814814,11
0.18069672184671534,0.9396641200545144,0.17058568789554568,0.9440076404543065,0.7022945106012198,0.7230046948356806,12
0.17682963872409346,0.941504558264199,0.1668127576984,0.9463508351525264,0.7129027597168041,0.7354988399071926,13
0.17197744226991996,0.9427243837079984,0.1653803384679647,0.9465951492537313,0.7218410520297311,0.7340301974448316,14
0.16937190974917657,0.9446664741034786,0.16633238536168604,0.9456401031408737,0.7314285714285714,0.7327887981330221,15
0.1662900347638616,0.9454342150418772,0.15975593866953722,0.9477389837378887,0.7363778631384265,0.7533632286995515,16
0.16505745455347148,0.9450650573225794,0.1582525871878378,0.9477278785919075,0.7343394077448747,0.7539503386004516,17
0.16268925741885243,0.9463464090155118,0.15772450877127575,0.9498600746268657,0.7430908065425832,0.7548460661345496,18
