cancer_type,doctor
Breast Cancer,"['Abenaa M. Brewster', 'Adam Brufsky', 'Aditya Bardia', 'Alberto J. Montero', 'Alejandra T. Perez', 'Alexandra S. Heerdt', 'Alvaro Moreno-Aspitia', 'Aminah Jatoi', 'Amy C. Degnim', 'Amy P. Early', 'Ana Aparicio', 'Ana Maria Lopez', 'Andrea Silber', 'Andrew E. Place', 'Andrew E. Sloan', 'Ann H. Partridge', 'Anne C. Chiang', 'Anne F. Schott', 'Anne Moore', 'Anthony B. El-Khoueiry', 'Anthony D. Elias', 'Anthony J. Olszanski', 'Antonio C. Wolff', 'Arnold Freedman', 'Atif J. Khan', 'B. Douglas Smith', 'Banu Arun', 'Barbara A. Parker', 'Barbara A. Pockaj', 'Benjamin D. Smith', 'Beth Overmoyer', 'Beverly Moy', 'Bhuvaneswari Ramaswamy', 'Bob T. Li', 'Brian J. Czerniecki', 'Bruce E. Johnson', 'Bryan K. Kee', 'Camilo E. Fadul', 'Carol J. Fabian', 'Carol L. Brown', 'Carrie A. Thompson', 'Cary A. Presant', 'Cary Philip Gross', 'Charles L. Loprinzi', 'Charles Lu', 'Charles Roberts', 'Chau T. Dang', 'Christiana Brenin', 'Christina Chu', 'Christopher G. Wood', 'Christopher Y. Thomas', 'Claudine Isaacs', 'Clinton F. Stewart', 'Craig A. Bunnell', 'Craig L. Slingluff', 'Cristiane Takita', 'Daniel D. Karp', 'Daniel M. Green', 'Daniel Mulkerin', 'Daniel P. Silver', 'Daniel V.T. Catenacci', 'David Euhus', 'David M. Peereboom', 'David P. Ryan', 'David S. Hong', 'Dean Lim', 'Donald W. Northfelt', 'Douglas Yee', 'Eddy J. Chen', 'Edith A. Perez', 'Efrat Dotan', 'Egidio Del Fabbro', 'Elias Obeid', 'Elizabeth A. Mittendorf', 'Eric P. Winer', 'Erica L. Mayer', 'Funda Meric-Bernstam', 'Gabriel Lopez', 'Gabriel N. Hortobagyi', ""Gabriella D'Andrea"", 'George D. Demetri', 'George H. Perkins', 'George J. Chang', 'George Plitas', 'George R. Simon', 'George Thomas Budd', 'George Wilding', 'Gini F. Fleming', 'Glenn Liu', 'Gordon J. Freeman', 'Gregory A. Daniels', 'Gregory Idos', 'Harold J. Burstein', 'Heidi D. Klepin', 'Henry Brem', 'Hongbin Chen', 'Howard I. Scher', 'Howard L. McLeod', 'Howard West', 'Hung T. Khong', 'Hyo S. Han', 'Ian E. Krop', 'Isabelle Bedrosian', 'Jame Abraham', 'James B. Yu', 'James Huang', 'James L. Abbruzzese', 'Jeffrey A. Meyerhardt', 'Jeffrey Myers', 'Jeffrey N. Weitzel', 'Jeffrey Y.C. Wong', 'Jennifer A. Ligibel', 'Jennifer S. Winn', 'Jill N. Allen', 'Joan L. Kramer', 'John A. Ridge', 'John C. Byrd', 'John Marshall', 'John Paul Diaz', 'Jordan Berlin', 'Jorg Dietrich', 'Jose G. Bazan', 'Joseph A. Sparano', 'Joseph Chao', 'Joseph O. Jacobson', 'Jue Wang', 'Julia R. White', 'Julia S. Wong', 'Kala Visvanathan', 'Karen E. Hoffman', 'Karen Kelly', 'Karen L. Smith', 'Karen S. Anderson', 'Kathleen N. Moore', 'Kazuaki Takabe', 'Keerthi Gogineni', 'Keith Flaherty', 'Kelly Hunt', 'Kelvin Lee', 'Kenneth H. Yu', 'Kenneth Offit', 'Kerin B. Adelson', 'Kevin Kim', 'Kevin S. Hughes', 'Lajos Pusztai', 'Larissa Meyer', 'Larry Norton', 'Leisha A. Emens', 'Lewis R. Roberts', 'Lisa Diamond', 'Lisa Diller', 'Lisa K. Jacobs', 'Lisa Yee', 'Loretta S. Loftus', 'Lori J. Goldstein', 'Luc Morris', 'Luis A. Diaz', 'Lynn D. Wilson', 'Mahmoud El-Tamer', 'Margaret von Mehren', 'Mariana Chavez-MacGregor', 'Mario E. Lacouture', 'Mark E. Robson', 'Mark Kozloff', 'Martin Edelman', 'Mary Helen Hackney', 'Maryam B. Lustberg', 'Matthew H. G. Katz', 'Matthew P. Goetz', 'Melanie B. Thomas', 'Melissa M. Moore', 'Melissa Wilson', 'Michael Carney', 'Michael DiGiovanna', 'Michael J. Hall', 'Michael S. Simon', 'Michael Wang', 'Mina S. Sedrak', 'Minetta C. Liu', 'Misagh Karimi', 'Monica Morrow', 'Nancy U. Lin', 'Naoto T. Ueno', 'Neeraj Agarwal', 'Norah Lynn Henry', 'Nuhad K. Ibrahim', 'Otto Metzger', 'Pamela Drullinsky', 'Pamela T. Soliman', 'Panagiotis A. Konstantinopoulos', 'Pasi A. Janne', 'Patricia LoRusso', 'Paul A. Meyers', 'Paul D. Brown', 'Paul E. Goss', 'Paul G. Richardson', 'Paul Russo', 'Paula Silverman', 'Pavani Chalasani', 'Pedro Sanz-Altamira', 'Peter D. Cole', 'Philip C. Hoffman', 'Philip L. McCarthy', 'Powel Brown', 'Prasad S. Adusumilli', 'Rachel A. Freedman', 'Rachel M. Layman', 'Rafael Perez', 'Randolph Marks', 'Raquel Nunes', 'Regina J. Brown', 'Reshma L. Mahtani', 'Richard A. Larson', 'Richard J. Lee', 'Richard J. Wong', 'Richard T. Lee', 'Rinath Jeselsohn', 'Rita Nanda', 'Robert D. Warren', 'Robert M. Dean', 'Robert Wesolowski', 'Robert Winn', 'Robert Z. Orlowski', 'Roohi Ismail-Khan', 'Samuel Chung', 'Sara M. Tolaney', 'Saranya Chumsri', 'Sarat Chandarlapaty', 'Saundra S. Buys', 'Scott Kopetz', 'Shaachi Gupta', 'Sharon H. Giordano', 'Shridar Ganesan', 'Sobha Kurian', 'Solmaz Sahebjam', 'Stephen B. Edge', 'Stephen C. Rubin', 'Stephen M. Hahn', 'Steven G. DuBois', 'Steven Grant', 'Steven I. Sherman', 'Steven J. Isakoff', 'Steven Jubelirer', 'Steven K. Clinton', 'Steven M. Larson', 'Steven Martin', 'Steven R Alberts', 'Susan G. Moore', 'Susan Hong', 'Susana M. Campos', 'Thomas A. Samuel', 'Thomas E. Witzig', 'Thomas J Pugh', 'Thomas J. Smith', 'Tian Zhang', 'Tiffany A. Traina', 'Timothy S. Pardee', 'Ting Bao', ""Tracey L. O'Connor"", 'Tufia C. Haddad', 'Ursula A. Matulonis', 'Vered Stearns', 'Veronica Jones', 'Vicente Valero', 'Vincent Chung', 'Vincent T. DeVita', 'Virginia F. Borges', 'Virginia G. Kaklamani', 'Vivek Roy', 'Vivek Subbiah', 'Wajeeha Razaq', 'Wendy Y. Chen', 'William Breitbart', 'William Wong', 'Winston Tan', 'Y. Nancy You', 'Yu Chen', 'Yuan Yuan', 'Zeina A. Nahleh', 'Zihai Li']"
Lung Cancer,"['Abhimanyu Ghose', 'Adam Brufsky', 'Aditya Bardia', 'Afshin Dowlati', 'Ahmad A. Tarhini', 'Alberto Chiappori', 'Aminah Jatoi', 'Ammar Sukari', 'Ana Maria Lopez', 'Andrew E. Sloan', 'Ann Mauer', 'Ann W. Silk', 'Anna F. Farago', 'Anne C. Chiang', 'Anne M. Traynor', 'Anne Moore', 'Anne S. Tsao', 'Anthony B. El-Khoueiry', 'Anthony J. Olszanski', 'B. Douglas Smith', 'Barbara A. Parker', 'Ben C. Creelan', 'Benjamin D. Smith', 'Bonnie S. Glisson', 'Bruce E. Johnson', 'Bryan K. Kee', 'Carrie A. Thompson', 'Cary A. Presant', 'Cary Philip Gross', 'Catherine Lam', 'Chao Hui Huang', 'Charles Lu', 'Charles M. Rudin', 'Charles Roberts', 'Christopher G. Wood', 'Christopher Y. Thomas', 'Claire F. Verschraegen', 'Clinton F. Stewart', 'Craig L. Slingluff', 'D. Ross Camidge', 'Daniel D. Karp', 'Daniel M. Green', 'Daniel P. Silver', 'David E. Kozono', 'David P. Ryan', 'David Paul Carbone', 'David S. Ettinger', 'David S. Hong', 'David Walterhouse', 'Dean Lim', 'Dennis Chi', 'Edith A. Perez', 'Elizabeth R Kessler', 'Eric L. Chang', 'Erminia Massarelli', 'Evan Hersh', 'Evan J. Lipson', 'Everett E. Vokes', 'Ferdinandos Skoulidis', 'Frank C. Detterbeck', 'Frank V. Fossella', 'Gabriel Lopez', 'Geoffrey Shapiro', 'George H. Perkins', 'George R. Simon', 'George Wilding', 'Gerold Bepler', 'Gordon J. Freeman', 'Grace K. Dy', 'Gregory A. Daniels', 'Gregory J. Riely', 'Gregory M.M. Videtic', 'Haiying Cheng', 'Harriet M. Kluger', 'Heinz-Josef Lenz', 'Helen J. Ross', 'Hongbin Chen', 'Hossein Borghaei', 'Howard I. Scher', 'Howard L. McLeod', 'Howard West', 'Jack A. Roth', 'James B. Yu', 'James D. Griffin', 'James Huang', 'James Stevenson', 'Jamie E. Chaft', 'Janakiraman Subramanian', 'Jarushka Naidoo', 'Jason B. Fleming', 'Jeffrey A. Morgan', 'Jeffrey Myers', 'Jennifer A. Chan', 'Jimmy Ruiz', 'Joe Y. Chang', 'John A. Ridge', 'John C. Byrd', 'John D. Mitchell', 'John Marshall', 'Jordan Berlin', 'Jose G. Bazan', 'Joseph Anthony Arthur', 'Jue Wang', 'Julie R. Brahmer', 'Karen Kelly', 'Karen L. Reckamp', 'Karen S. Anderson', 'Kathleen N. Moore', 'Keith Flaherty', 'Kelvin Lee', 'Kenneth H. Yu', 'Kenneth Offit', 'Kevin Kim', 'Larry Norton', 'Lecia V. Sequist', 'Leonard B. Saltz', 'Lewis R. Roberts', 'Luis A. Diaz', 'Mahesh Seetharam', 'Marc A. Shapiro', 'Marc Ladanyi', 'Marcos J.G. De Lima', 'Mario E. Lacouture', 'Mario Sznol', 'Mark G. Kris', 'Mark Kozloff', 'Mark S. Collins', 'Martin Edelman', 'Matthew H. G. Katz', 'Mebea Aklilu', 'Melissa M. Moore', 'Melissa Wilson', 'Michael Carney', 'Michael E. Williams', 'Michael N. Neuss', 'Michael Paul Kim', 'Michael S. Simon', 'Michael Wang', 'Mihaela Druta', 'Mitchell Machtay', 'Mohammad Razaq', 'Nathan A. Pennell', 'Nikhil I. Khushalani', 'Pamela T. Soliman', 'Pasi A. Janne', 'Patricia LoRusso', 'Paul A. Meyers', 'Paul B. Chapman', 'Paul D. Brown', 'Paul F. Mansfield', 'Paul K. Paik', 'Paul Russo', 'Philip C. Hoffman', 'Powel Brown', 'Prasad S. Adusumilli', 'Rafael Perez', 'Randolph Marks', 'Ranee Mehra', 'Ravi Salgia', 'Rebecca Suk Heist', 'Renuka V. Iyer', 'Richard J. Lee', 'Richard T. Lee', 'Rita Nanda', 'Robert A. Baiocchi', 'Robert J. Motzer', 'Robert M. Dean', 'Rogerio Lilenbaum', 'Ronald S. Go', 'Roy H. Decker', 'Roy S. Herbst', 'Ryan D. Gentzler', 'Samuel Chung', 'Sarah A. Taylor', 'Scott N. Gettinger', 'Seth M. Cohen', 'Sharon H. Giordano', 'Shirish M. Gadgeel', 'Solmaz Sahebjam', 'Sriram Yennu', 'Stefan C. Grant', 'Stephen K. Williamson', 'Steven Attia', 'Steven E. Schild', 'Steven G. DuBois', 'Steven Grant', 'Steven I. Sherman', 'Steven Jubelirer', 'Steven K. Clinton', 'Steven Martin', 'Steven R Alberts', 'Stuart H. Packer', 'Thomas A. Samuel', 'Thomas E. Witzig', 'Thomas J Pugh', 'Thomas J. Smith', 'Tian Zhang', 'Tianhong Li', 'Timothy S. Pardee', 'Todd L. Demmy', 'Valerie W. Rusch', 'Vincent Chung', 'Vivek Subbiah', 'W. Michael Alberts', 'Wallace L. Akerley', 'Wen Wee Ma', 'William Breitbart', 'William T. Purcell', 'Winston Tan', 'Y. Nancy You', 'Yu Chen', 'Yuan Yuan']"
Leukemia,"['Aaron Rapoport', 'Abdulraheem Yacoub', 'Abhinav Deol', 'Alan F. List', 'Alessandra Ferrajoli', 'Alvaro Moreno-Aspitia', 'Anas Younes', 'Andrew E. Place', 'Andrew E. Sloan', 'Andrew S. Artz', 'Anjali S. Advani', 'Aref Al-Kali', 'Ariela Noy', 'Auayporn Nademanee', 'B. Douglas Smith', 'Borje Andersson', 'Carrie A. Thompson', 'Cary A. Presant', 'Charles Roberts', 'Ching-Hon Pui', 'Daniel J. DeAngelo', 'Daniel M. Green', 'David A. Scheinberg', 'David J. Straus', 'David P. Steensma', 'Donald P. Lawrence', 'Eduardo Bruera', 'Edward B. Perkins', 'Edwin Alyea', 'Elaine Morgan', 'Elias Jabbour', 'Elizabeth A. Griffiths', 'Elizabeth J. Shpall', 'Ellin Berman', 'Eric L. Chang', 'Eric S. Winer', 'Eunice S. Wang', 'Eytan Stein', 'Fabio Pires De Souza Santos', 'Farhad Ravandi', 'Gabriela Hobbs', 'George Wilding', 'Grzegorz S. Nowakowski', 'Guillermo Garcia-Manero', 'Hagop M. Kantarjian', 'Heidi D. Klepin', 'Henry C. Fung', 'Hetty E Carraway', 'Howard I. Scher', 'Howard L. McLeod', 'Howard West', 'Issa F. Khouri', 'James B. Yu', 'James C. Moore', 'James D. Griffin', 'James Downing', 'James M. Foran', 'Jeffrey A. Morgan', 'Jeffrey E Rubnitz', 'Jeffrey E. Lancet', 'Jeffrey Myers', 'Jerome Ritz', 'John C. Byrd', 'John T. Sandlund', 'Joseph Chao', 'Joseph P. Uberti', 'Joseph Rosenthal', 'Karen K. Ballen', 'Kathleen N. Moore', 'Kebede Begna', 'Kelvin Lee', 'Kenneth Offit', 'Larry Norton', 'Leonard B. Saltz', 'Leslie Popplewell', 'Lewis B. Silverman', 'Lewis R. Roberts', 'Lia Gore', 'Lode J. Swinnen', 'Lucy A. Godley', 'Luis A. Diaz', 'Maria E. Cabanillas', 'Marina Konopleva', 'Mario Sznol', 'Martha Lacy', 'Martin S. Tallman', 'Matt E. Kalaycio', 'Michael A. Curran', 'Michael E. Williams', 'Michael R. Grever', 'Michael S. Simon', 'Michelle A. Elliott', 'Miguel-Angel Perales', 'Mikkael A. Sekeres', 'Mohamad Masri', 'Muzaffar H. Qazilbash', 'Navneet S. Majhail', 'Nitin Jain', 'Olatoyosi Odenike', 'Paolo Anderlini', 'Partow Kebriaei', 'Paul F. Mansfield', 'Paul J. Shami', 'Philip L. McCarthy', 'Philippe Armand', 'Randolph Marks', 'Rebecca B. Klisovic', 'Richard A. Larson', 'Richard E. Champlin', 'Richard M. Stone', 'Robert Z. Orlowski', 'Ronald S. Go', 'Ross C. Donehower', 'Saroj Vadhan-Raj', 'Sergio Giralt', 'Shaji Kumar', 'Sonali M. Smith', 'Srdan Verstovsek', 'Stefan O. Ciurea', 'Stephen E. Sallan', 'Stephen J. Forman', 'Steven Gore', 'Steven Grant', 'Steven Jubelirer', 'Steven K. Clinton', 'Steven Martin', 'Steven P. Treon', 'Steven R Alberts', 'Steven T. Rosen', 'Taiga Nishihori', 'Tait D. Shanafelt', 'Terri L. Parker', 'Thomas E. Witzig', 'Thomas F. Hogan', 'Thomas J. Smith', 'Timothy Call', 'Timothy S. Pardee', 'Uday R. Popat', 'Vivek Subbiah', 'Voravit Ratanatharathorn', 'Wendy Stock', 'William G. Wierda', 'Yago Nieto', 'Yesid Alvarado', 'Yuan Yuan', 'Zihai Li']"
Prostate Cancer,"['Abhishek A Solanki', 'Adam Brufsky', 'Aditya Bardia', 'Akash Patnaik', 'Amado J. Zurita', 'Aminah Jatoi', 'Ana Aparicio', 'Andrew E. Sloan', 'Andrew R. Howard', 'Arif Hussain', 'Benjamin D. Smith', 'Biren Saraiya', 'Charles L. Loprinzi', 'Charles Roberts', 'Christopher G. Wood', 'Christopher Logothetis', 'Christopher Sweeney', 'Christopher W. Ryan', 'Christopher Y. Thomas', 'Christos Kyriakopoulos', 'Craig L. Slingluff', 'Curtiland Deville', 'D. Ross Camidge', 'Damian A. Laber', 'Daniel D. Karp', 'David Schiff', 'Eddy J. Chen', 'Elias Obeid', 'Elisabeth I. Heath', 'Elizabeth R Kessler', 'Emmanuel S. Antonarakis', 'Eric L. Chang', 'George H. Perkins', 'George Wilding', 'Glenn Liu', 'Gordon J. Freeman', 'Guru Sonpavde', 'Han Xiao', 'Howard I. Scher', 'Howard L. McLeod', 'Isaac Yi Kim', 'Jacqueline Vuky', 'James B. Yu', 'James D. Griffin', 'Jay P. Ciezki', 'Jeffrey Myers', 'Jingsong Zhang', 'John A. Ridge', 'John C. Araujo', 'John Marshall', 'Jonathan E. Rosenberg', 'Jorge A. Garcia', 'Joseph W. Kim', 'Jue Wang', 'Julia R. White', 'Karen S. Anderson', 'Karim A. Touijer', 'Keith Flaherty', 'Kenneth J. Pienta', 'Kenneth Offit', 'Kevin S. Hughes', 'Kimmie Ng', 'Larry Norton', 'Lewis R. Roberts', 'M Dror Michaelson', 'Mario A. Eisenberger', 'Mario Sznol', 'Mark Kozloff', 'Mark Pomerantz', 'Martin Edelman', 'Mary-Ellen Taplin', 'Mehmet Asim Bilen', 'Michael G. Haddock', 'Michael J. Hall', 'Michael J. McNamara', 'Michael J. Morris', 'Michael S. Simon', 'Michael Wang', 'Nancy Ann Dawson', 'Neal Rosen', 'Neeraj Agarwal', 'Noah M. Hahn', 'Paul A. Meyers', 'Paul D. Brown', 'Paul L. Nguyen', 'Quynh Nguyen', 'Randolph Marks', 'Richard J. Lee', 'Rita Nanda', 'Ronald C. Chen', 'Samuel R. Denmeade', 'Scott N. Gettinger', 'Sharon H. Giordano', 'Shi-Ming Tu', 'Sriram Yennu', 'Steven E. Schild', 'Steven Gore', 'Steven Grant', 'Steven Jubelirer', 'Steven K. Clinton', 'Steven M. Larson', 'Steven Martin', 'Steven R Alberts', 'Tanya B. Dorff', 'Thomas Gajewski', 'Thomas J Pugh', 'Thomas J. Smith', 'Thomas W. Flaig', 'Tian Zhang', 'Timothy S. Pardee', 'Tomasz M. Beer', 'Toni K. Choueiri', 'Umar Mahmood', 'Vincent Chung', 'Vivek Subbiah', 'William K. Oh', 'William R. Berry', 'William Wong', 'Winston Tan', 'Y. Nancy You', 'Yu Chen', 'Yuan Yuan']"
Colorectal Cancer,"['Adam Brufsky', 'Alok A. Khorana', 'Ana Maria Lopez', 'Andrew E. Sloan', 'Andrew M. Lowy', 'Andrew X. Zhu', 'Anthony B. El-Khoueiry', 'Anthony J. Olszanski', 'Barbara A. Parker', 'Barbara Burtness', 'Benjamin D. Smith', 'Blase N. Polite', 'Bruce E. Johnson', 'Cathy Eng', 'Charles L. Loprinzi', 'Charles Roberts', 'Charles S. Fuchs', 'Christina Chu', 'Christopher G. Wood', 'Clinton F. Stewart', 'Crystal S. Denlinger', 'Daniel M. Green', 'Daniel M. Halperin', 'Daniel Mulkerin', 'Daniel P. Silver', 'Daniel V.T. Catenacci', 'David P. Ryan', 'David S. Hong', 'Deborah Schrag', 'Dennis Chi', 'Efrat Dotan', 'Elise D. Cook', 'Eric L. Chang', 'Ernest Hawk', 'Frank A. Sinicrope', 'George J. Chang', 'George R. Simon', 'George Wilding', 'Gina G. Chung', 'Glenn Liu', 'Gordon J. Freeman', 'Gregory A. Daniels', 'Han Xiao', 'Hedy L. Kindler', 'Heinz-Josef Lenz', 'Henry C. Pitot', 'Howard I. Scher', 'Howard L. McLeod', 'Jae Hong Park', 'Jaffer A. Ajani', 'James B. Yu', 'James C. Yao', 'James D. Griffin', 'James L. Abbruzzese', 'Jeffrey A. Meyerhardt', 'Jeffrey A. Morgan', 'Jeffrey Myers', 'Jeffrey Y.C. Wong', 'Jennifer A. Chan', 'Jennifer A. Ligibel', 'Jennifer Elston Lafata', 'John Marshall', 'John R. Weis', 'Jonathan R. Strosberg', 'Jordan Berlin', 'Jose G. Guillem', 'Jue Wang', 'Karen S. Anderson', 'Kathleen N. Moore', 'Keith Flaherty', 'Kenneth Offit', 'Kevin Kim', 'Khalid Matin', 'Kimmie Ng', 'Larry Norton', 'Leonard B. Saltz', 'Lewis R. Roberts', 'Lily L. Lai', 'Lisa Diamond', 'Luc Morris', 'Luis A. Diaz', 'Margaret von Mehren', 'Mark J. Ratain', 'Mark Kozloff', 'Martin McCarter', 'Martin R. Weiser', 'Martine Extermann', 'Marwan Fakih', 'Mebea Aklilu', 'Melissa M. Moore', 'Michael J. Hall', 'Michael J. Overman', 'Michael J. Pishvaian', 'Michael S. Simon', 'Miguel A. Rodriguez-Bigas', 'Mitchell C. Posner', 'Namrata Vijayvergia', 'Pasi A. Janne', 'Patricia LoRusso', 'Paul A. Meyers', 'Paul D. Brown', 'Paul F. Mansfield', 'Pedro Sanz-Altamira', 'Philip Paty', 'Randall F. Holcombe', 'Ravi Murthy', 'Regina J. Brown', 'Renato Lenzi', 'Richard D. Kim', 'Richard J. Lee', 'Richard J. Wong', 'Richard T. Lee', 'Ronald S. Go', 'Ross C. Donehower', 'Scott Kopetz', 'Scott N. Gettinger', 'Seth M. Cohen', 'Sharon H. Giordano', 'Siwen Hu-Lieskovan', 'Skye C. Mayo', 'Sobha Kurian', 'Stephen K. Williamson', 'Stephen Leong', 'Steven Grant', 'Steven Jubelirer', 'Steven K. Clinton', 'Steven M. Larson', 'Steven R Alberts', 'Susan G. Moore', 'T. Peter Kingham', 'Tanios S. Bekaii-Saab', 'Theodore S. Hong', 'Thomas J Pugh', 'Thomas J. Smith', 'Vincent Chung', 'Vivek Subbiah', 'Wells A. Messersmith', 'Wen Wee Ma', 'William Wong', 'Y. Nancy You', 'Yu Chen', 'Yuan Yuan']"
Lymphoma,"['Aaron Rapoport', 'Abhinav Deol', 'Alessandra Ferrajoli', 'Amrita Y. Krishnan', 'Ana Maria Lopez', 'Anas Younes', 'Andrew E. Place', 'Andrew E. Sloan', 'Andrew S. Artz', 'Anjali S. Advani', 'Anthony J. Olszanski', 'Ariela Noy', 'Arnold Freedman', 'Auayporn Nademanee', 'B. Douglas Smith', 'Baldassarre Stea', 'Barbara A. Parker', 'Basem M. William', 'Benjamin D. Smith', 'Bianca Santomasso', 'Borje Andersson', 'Bruce E. Johnson', 'Carolyn M. Mulroney', 'Carrie A. Thompson', 'Charles Roberts', 'Craig C. Hofmeister', 'Craig H. Moskowitz', 'D. Ross Camidge', 'Daniel M. Green', 'Daniel Mulkerin', 'David J. Straus', 'David P. Ryan', 'David P. Steensma', 'David R. Spriggs', 'David Schiff', 'David T. Scadden', 'David Walterhouse', 'Eduardo Bruera', 'Edward B. Perkins', 'Edwin Alyea', 'Elias Jabbour', 'Elizabeth J. Shpall', 'Farhad Ravandi', 'Felipe Samaniego', 'Francine M. Foss', 'Francisco J. Hernandez-Ilizaliturri', 'George R. Simon', 'George Wilding', 'Gordon J. Freeman', 'Grzegorz S. Nowakowski', 'Hagop M. Kantarjian', 'Han Xiao', 'Howard L. McLeod', 'Howard West', 'Ingo K. Mellinghoff', 'Issa F. Khouri', 'James B. Yu', 'James D. Griffin', 'James M. Foran', 'Jasmine M. Zain', 'Jeffrey Myers', 'Jennifer J. Wheler', 'Jeremy S. Abramson', 'John C. Byrd', 'John T. Sandlund', 'Jordan Berlin', 'Jorg Dietrich', 'Joseph A. Sparano', 'Joseph P. Uberti', 'Joseph Rosenthal', 'Karen K. Ballen', 'Keith Flaherty', 'Kenneth Offit', 'Kevin Kim', 'Leslie Popplewell', 'Lewis B. Silverman', 'Lewis R. Roberts', 'Lode J. Swinnen', 'Lubomir Sokol', 'Luc Morris', 'Luis A. Diaz', 'Luis Fayad', 'Marcos J.G. De Lima', 'Maria E. Cabanillas', 'Maria Lia Palomba', 'Mario Sznol', 'Mark J. Ratain', 'Martha Lacy', 'Martin S. Tallman', 'Michael A. Curran', 'Michael E. Williams', 'Michael S. Simon', 'Michael Wang', 'Miguel-Angel Perales', 'Morie A. Gertz', 'Navneet S. Majhail', 'Nina D. Wagner-Johnston', 'Nitin Jain', 'Partow Kebriaei', 'Patricia LoRusso', 'Paul A. Hamlin', 'Paul A. Meyers', 'Paul D. Brown', 'Paul F. Mansfield', 'Paul K. Paik', 'Peter D. Cole', 'Philip L. McCarthy', 'Philippe Armand', 'Randolph Marks', 'Richard A. Larson', 'Richard E. Champlin', 'Richard J. Lee', 'Robert A. Baiocchi', 'Robert M. Dean', 'Robert Z. Orlowski', 'Ross C. Donehower', 'Saroj Vadhan-Raj', 'Scott N. Gettinger', 'Sergio Giralt', 'Seth M. Cohen', 'Shaji Kumar', 'Sharon H. Giordano', 'Sonali M. Smith', 'Stanton L. Gerson', 'Stefan O. Ciurea', 'Stephen C. Rubin', 'Stephen M. Ansell', 'Steven G. DuBois', 'Steven Gore', 'Steven Grant', 'Steven I. Sherman', 'Steven Jubelirer', 'Steven Martin', 'Steven P. Treon', 'Steven T. Rosen', 'Taiga Nishihori', 'Tait D. Shanafelt', 'Thomas E. Witzig', 'Thomas J Pugh', 'Thomas J. Smith', 'Timothy Call', 'Uday R. Popat', 'Vincent Chung', 'Vivek Subbiah', 'Voravit Ratanatharathorn', 'William Breitbart', 'William G. Wierda', 'Yago Nieto', 'Yuan Yuan']"
Bone Cancer,"['Amir A. Jazaeri', 'Anne Moore', 'B. Douglas Smith', 'Carrie A. Thompson', 'Charles Roberts', 'Christopher G. Wood', 'Christos Kyriakopoulos', 'Daniel M. Green', 'Daniel P. Silver', 'David A. Liebner', 'David S. Hong', 'Elizabeth A. Griffiths', 'Eunice S. Wang', 'Farhad Ravandi', 'George H. Perkins', 'Isaac Yi Kim', 'John A. Ridge', 'Joseph Chao', 'Joseph W. Kim', 'Lewis R. Roberts', 'Marina Konopleva', 'Mario A. Eisenberger', 'Mario E. Lacouture', 'Mark S. Collins', 'Najat C. Daw', 'Nina D. Wagner-Johnston', 'Nitin Jain', 'Partow Kebriaei', 'Paul F. Mansfield', 'Pavani Chalasani', 'Richard E. Champlin', 'Richard J. Lee', ""Sandra P. D'Angelo"", 'Srdan Verstovsek', 'Stefan O. Ciurea', 'Steven Attia', 'Steven G. DuBois', 'Steven Grant', 'Steven Jubelirer', 'Steven K. Clinton', 'Steven Martin', 'Thomas J. Smith', 'Tian Zhang', 'Todd L. Demmy', 'Tracy A. Balboni', 'Vivek Subbiah', 'Yuan Yuan']"
