pmid,doctor
11859202,['Kenneth J. Pienta']
11861270,['Richard E. Champlin']
11861369,['Samuel R. Denmeade']
11861401,['Imad Shureiqi']
11862502,['Susan B. LeGrand']
11863228,['Leslie Popplewell']
11866704,['John A. Ridge']
11867505,['Leslie L. Robison']
11867721,"['Richard A. Larson', 'Michelle M. Le Beau']"
11870166,"['Carol Aghajanian', 'Paul Sabbatini', 'David R. Spriggs']"
11870168,"['Kenneth Offit', 'Larry Norton']"
11870175,['Sergio Giralt']
11870179,['Gerold Bepler']
11872281,['David S. Ettinger']
11872286,['Julia S. Wong']
11872294,['Michael G. Haddock']
11873541,['Douglas A. Nelson']
11875173,['Ira J. Dunkel']
11875759,['Charis Eng']
11877262,"['Charles L. Sawyers', 'Hagop M. Kantarjian']"
11877266,"['John T. Sandlund', 'Frederick G. Behm']"
11877293,['Steven P. Treon']
11877311,['Srdan Verstovsek']
11877765,['Thomas E. Witzig']
11879565,['Douglas Yee']
11880182,['Daniel E. Epner']
11881785,['Najat C. Daw']
11881908,['Claudine Isaacs']
11881914,"['John P. Fruehauf', 'Carol J. Fabian']"
11882230,"['Ching-Hon Pui', 'John T. Sandlund']"
11882761,['William R. Jarnagin']
11883699,['Evanthia Galanis']
11884322,['Kelly Hunt']
11886337,"['Ann M. Gillenwater', 'Jeffrey Myers']"
11888451,['Michael A. Warso']
11888875,"['Brian J. Czerniecki', 'Isabelle Bedrosian']"
11888876,['Michael G. Haddock']
11890716,"['Christina Chu', 'Stephen C. Rubin']"
11891941,['Mitchell Machtay']
11894011,['Roy S. Herbst']
11894012,['David Raben']
11894015,['Mark G. Kris']
11894016,['Roy S. Herbst']
11894018,['Karen Kelly']
11894019,"['Jack A. Roth', 'Stephen Swisher']"
11895757,['James Huang']
11895870,['Charles S. Fuchs']
11895877,"['Frank A. Sinicrope', 'Kim-Anh Do']"
11895878,['Frank A. Sinicrope']
11895894,"['George D. Demetri', 'Beth Overmoyer']"
11895896,['David S. Ettinger']
11895897,['David P. Ryan']
11895899,"['George Wilding', 'Glenn Liu', 'Jordan Berlin']"
11895908,"['Patricia Troncoso', 'Christopher Logothetis']"
11895923,['Mitchell Machtay']
11896096,['Charles L. Loprinzi']
11896097,['Elin R. Sigurdson']
11896101,['Kim-Anh Do']
11896107,"['Michele Y. Halyard', 'Edith A. Perez', 'Charles L. Loprinzi']"
11896109,['Bonnie S. Glisson']
11896112,['Clinton F. Stewart']
11896119,['Stephen E. Sallan']
11896622,['Charles Roberts']
11896624,['Philip Paty']
11899114,['Leslie L. Robison']
11899362,['Joseph A. Sparano']
11900499,['David J. Vaughn']
11901001,['Steven Martin']
11901151,['Larry Norton']
11901478,['Kenneth J. Pienta']
11901538,['William K. Oh']
11901913,['Bruce E. Johnson']
11904316,['Charles S. Fuchs']
11907462,['Barbara A. Pockaj']
11907463,['Craig L. Slingluff']
11907465,['Drew M. Pardoll']
11908714,['Arnold Freedman']
11909978,['Charles L. Sawyers']
11912139,['Frank A. Sinicrope']
11912144,['Geoffrey Shapiro']
11912152,['Nai-Kong V. Cheung']
11912162,['Kenneth J. Pienta']
11912386,['Patricia Troncoso']
11914621,['Jeffrey Myers']
11914627,['Alberto S. Pappo']
11914909,"['Gabriel N. Hortobagyi', 'Vicente Valero']"
11916486,['Stephen C. Rubin']
11917287,['Aminah Jatoi']
11918080,['Kenneth J. Pienta']
11918881,['Stephen Swisher']
11919237,"['Banu Arun', 'Gabriel N. Hortobagyi', 'Vicente Valero', 'Lajos Pusztai']"
11920455,['Monica Morrow']
11920466,"['Howard I. Scher', 'Michael J. Morris', 'Susan F. Slovin']"
11920502,['Mario A. Eisenberger']
11920509,['Srdan Verstovsek']
11920510,['Stephen J. Forman']
11920518,['Roy S. Herbst']
11920650,['Charis Eng']
11920733,['Howard L. McLeod']
11920777,['David Euhus']
11920786,"['Daniel M. Green', 'Leslie L. Robison']"
11921013,"['Auayporn Nademanee', 'Henry C. Fung']"
11921272,['Leslie Popplewell']
11921273,['Richard A. Larson']
11923128,['Kelly Hunt']
11923129,['Vered Stearns']
11923132,"['Kelly Hunt', 'Barry W. Feig']"
11924911,['Hung T. Khong']
11924912,['Steven P. Treon']
11925131,['Linda R. Duska']
11926890,['Kenneth J. Pienta']
11926891,['John O. Schorge']
11927614,"['Sam S. Yoon', 'Kenneth Tanabe', 'Timothy M. Pawlik']"
11927966,"['Dean F. Bajorin', 'Robert J. Motzer']"
11928795,['Martin McCarter']
11929326,['Carol J. Fabian']
11929341,['Paul E. Goss']
11929790,['Michelle M. Le Beau']
11929949,['Cathy J Bradley']
11930874,['William R. Jarnagin']
11932470,['Leslie L. Robison']
11932905,"['Hagop M. Kantarjian', 'Guillermo Garcia-Manero']"
11932906,['John C. Byrd']
11932907,['William R. Jarnagin']
11932911,['Kelly Hunt']
11932912,['Eduardo Bruera']
11933076,['Powel Brown']
11934346,"['Harold J. Burstein', 'Ann H. Partridge']"
11937011,['David H. Ilson']
11937012,"['Jaffer A. Ajani', 'James C. Yao']"
11937431,['Kenneth J. Pienta']
11939869,['Leslie L. Robison']
11942045,['Ernest Hawk']
11942410,['Jue Wang']
11943706,['Marc Ladanyi']
11948101,"['Michael R. Grever', 'Steven Gore', 'Ross C. Donehower']"
11948141,['Colin P.N. Dinney']
11948274,"['Deborah Schrag', 'Peter Bach', 'Peter T. Scardino']"
11948493,['Charis Eng']
11948567,['Patricia Troncoso']
11951208,['Elin R. Sigurdson']
11952243,['Elin R. Sigurdson']
11955607,['Carola A. S. Arndt']
11955624,['Daniel E. Epner']
11955651,['Jay P. Ciezki']
11955727,['Mitchell Machtay']
11955742,['James L. Abbruzzese']
11956072,['Jun Luo']
11956076,"['Jack A. Roth', 'Kelly Hunt', 'Stephen Swisher']"
11956257,"['Valerie W. Rusch', 'Mark G. Kris']"
11956260,['Thomas Gajewski']
11956261,['Peter T. Scardino']
11956266,['Vernon K. Sondak']
11956267,['Vernon K. Sondak']
11956269,['Lisa Diller']
11956271,['George P. Canellos']
11956279,['Mario A. Eisenberger']
11956426,['Martine Extermann']
11956645,['Howard L. McLeod']
11957149,['Marc Ladanyi']
11958890,"['Matthew T. Ballo', 'Paul F. Mansfield', 'Jeffrey E. Gershenwald']"
11958896,['Eric L. Chang']
11960379,['Christopher Sweeney']
11960384,['Jack A. Roth']
11961058,['Steven Grant']
11961199,['Richard T. Penson']
11961204,['Martin S. Tallman']
11964319,"['Marina Konopleva', 'Gabriel Lopez-Berestein']"
11965231,['David A. Scheinberg']
11965234,['Ivan Borrello']
11966385,"['Deborah Schrag', 'Peter Bach', 'Otis W. Brawley']"
11967901,"['Steven E. Schild', 'William Wong', 'Michele Y. Halyard']"
11968000,['Melissa Wilson']
11968084,['Charis Eng']
11970761,['Francine M. Foss']
11970763,"['Maureen Ross', 'Michael E. Williams']"
11970766,['Martin S. Tallman']
11970966,['Christina Chu']
11971195,['Jack A. Roth']
11972090,['Thomas E. Merchant']
