pmid,doctor
20723773,['Robert I. Haddad']
20724445,"['Robert G. Maki', 'Paul A. Meyers', 'Shreyaskumar Patel']"
20724944,['Diane C. Bodurka']
20725860,"['Crystal S. Denlinger', 'Michael J. Hall', 'Barbara Burtness']"
20725905,['Lewis R. Roberts']
20726421,['Anees B. Chagpar']
20727065,['Peter T. Scardino']
20727190,"['Craig L. Slingluff', 'Gina R. Petroni']"
20727737,['Howard L. McLeod']
20728696,"['Erica L. Mayer', 'Eric P. Winer', 'Harold J. Burstein']"
20729288,['Courtney L. Scaife']
20729295,['Charis Eng']
20729419,"['Annick D. Van Den Abbeele', 'Bruce E. Johnson', 'Pasi A. Janne']"
20729640,['Guillermo Garcia-Manero']
20729815,"['Farhad Ravandi', 'Hagop M. Kantarjian']"
20730572,"['Philip C. Hoffman', 'Everett E. Vokes', 'Mitchell C. Posner', 'Ann Mauer']"
20730659,"['Ursula A. Matulonis', 'Richard T. Penson']"
20730790,"['Shaji Kumar', 'Morie A. Gertz', 'Thomas E. Witzig', 'Martha Lacy', 'Angela Dispenzieri']"
20730893,['Yuan Yuan']
20731013,['Kazuaki Takabe']
20732354,['Steven Grant']
20732513,"['Joe Y. Chang', 'Jaffer A. Ajani', 'Jack A. Roth', 'Stephen Swisher']"
20732514,"['Jaffer A. Ajani', 'Jack A. Roth', 'Stephen Swisher']"
20732765,['Sameer R. Keole']
20732766,"['Richard J. Bleicher', 'Elin R. Sigurdson', 'Lori J. Goldstein']"
20732906,['Christopher G. Wood']
20732960,['Mario E. Lacouture']
20732965,['Jason B. Fleming']
20733129,['Banu Arun']
20733134,"['Daniel J. DeAngelo', 'Richard M. Stone']"
20733154,"['Craig H. Moskowitz', 'Alison J. Moskowitz']"
20733182,['Ashish M. Kamat']
20733336,"['Mark Kozloff', 'Jordan Berlin']"
20733337,"['Christopher W. Ryan', 'Marc S. Ernstoff', 'Tamila L. Kindwall-Keller']"
20734149,['Kenneth Tanabe']
20734173,['Matthew J. Matasar']
20735170,"['Jeffrey J. Molldrem', 'Muzaffar H. Qazilbash']"
20735315,['Joseph Chao']
20735402,"['Michael Wang', 'Luis Fayad']"
20736376,['Rafael Fonseca']
20736745,['Charles S. Fuchs']
20736856,['Pasi A. Janne']
20737559,['Thomas F. DeLaney']
20737562,"['Loren K. Mell', 'Ralph R. Weichselbaum', 'Blase N. Polite']"
20737567,['Apostolia Maria Tsimberidou']
20737569,['Stephen B. Edge']
20737571,['James B. Yu']
20737572,['Kathleen N. Moore']
20737576,"['Farhad Ravandi', 'Elias Jabbour', 'Hagop M. Kantarjian', 'Guillermo Garcia-Manero']"
20738754,['Yu Chen']
20738806,['Yu Chen']
20739212,['Lajos Pusztai']
20739388,['Steven I. Sherman']
20739842,"['Monica Morrow', 'Kelly Hunt']"
20739847,['Martin McCarter']
20739888,['Steven T. Rosen']
20740500,"['Elizabeth A. Mittendorf', 'Anthony Lucci', 'Funda Meric-Bernstam', 'Kelly Hunt']"
20740584,"['Timothy M. Pawlik', 'Richard D. Schulick']"
20795769,['Cynthia E. Herzog']
20795789,"['Elizabeth A. Griffiths', 'B. Douglas Smith', 'Steven Gore', 'Hetty E Carraway']"
20797753,['Henry C. Pitot']
20798235,"['Shaji Kumar', 'Morie A. Gertz', 'Martha Lacy', 'S. Vincent Rajkumar', 'Angela Dispenzieri', 'Suzanne R. Hayman']"
20799874,['Bradley J. Monk']
20800061,['Thomas J. Smith']
20800380,['Gregory M.M. Videtic']
20800381,['Charles L. Loprinzi']
20800385,['Atif J. Khan']
20800387,['Paul D. Brown']
20800716,['Monica Morrow']
20803052,"['Michael J. Hall', 'Everett E. Vokes']"
20803054,['Steven K. Clinton']
20803287,['Steven E. Schild']
20803607,"['Farhad Ravandi', 'Guillermo Garcia-Manero']"
20803613,['Stephen Swisher']
20804754,['Kazuaki Takabe']
20805315,"['Michael Wang', 'Robert Z. Orlowski', 'Sheeba K. Thomas']"
20805450,"['Jeffrey A. Meyerhardt', 'Jennifer A. Chan', 'Kimmie Ng', 'Leonard B. Saltz', 'Charles S. Fuchs']"
20805453,"['Gabriel N. Hortobagyi', 'Vicente Valero', 'Nuhad K. Ibrahim', 'Lajos Pusztai']"
20806321,['Jorge A. Garcia']
20806349,['William G. Wierda']
20807780,['James D. Griffin']
20807808,['Tomasz M. Beer']
20808253,"['Bernard Chinnasami', 'Lecia V. Sequist', 'Rebecca Suk Heist']"
20808256,['Monica Morrow']
20808302,"['Gabriel N. Hortobagyi', 'Naoto T. Ueno']"
20808935,['Ann Klopp']
20809724,['Mark Bilsky']
20809966,['Jennifer Elston Lafata']
20809974,['Harriet M. Kluger']
20810374,"['Jeffrey N. Weitzel', 'Claudine Isaacs', 'Fergus Couch']"
20811626,"['Joe Y. Chang', 'Jack A. Roth', 'Charles Lu']"
20811684,['Thomas W. Flaig']
20811712,['Smit Singla']
20811779,"['Mitchell C. Posner', 'Matthew H. G. Katz']"
20812224,"['Marwan Fakih', 'Candace S. Johnson']"
20813970,['Gabriel N. Hortobagyi']
20814238,['Ashish M. Kamat']
20816505,['Powel Brown']
20816507,['Banu Arun']
20816582,['Kenneth Offit']
20817227,"['Carol L. Brown', 'Yukio Sonoda', 'Dennis Chi']"
20817304,['Geoffrey Yuyat Ku']
20817505,"['Lucy A. Godley', 'Sonali M. Smith']"
20818173,['Parkash S. Gill']
20818650,"['Alexander J. Lazar', 'Kelly Hunt']"
20818844,"['Paul B. Chapman', 'Igor Puzanov', 'Kevin Kim', 'Keith Flaherty', 'Richard J. Lee']"
20819923,['Hassane M. Zarour']
20820960,['Fredrick B. Hagemeister']
20823156,['Kelly Hunt']
20823238,['Charles L. Sawyers']
20823422,['Matthew Meyerson']
20823779,['Michael B. Atkins']
20823850,"['Paul B. Chapman', 'Igor Puzanov', 'Kevin Kim', 'Keith Flaherty', 'Richard J. Lee']"
20824184,"['Howard I. Scher', 'Michael J. Morris']"
20824369,['William R. Jarnagin']
20824371,"['Skye C. Mayo', 'Timothy M. Pawlik', 'Richard D. Schulick']"
20824724,['Jonathan R. Strosberg']
20824725,['Ching-Hon Pui']
20826724,['Guenther Koehne']
20826764,['Luis A. Diaz']
20826776,['Gabriel Lopez-Berestein']
20826828,['Fergus Couch']
20827183,['Jaffer A. Ajani']
20827514,['Daniel A. Mulrooney']
20827732,['Lajos Pusztai']
20828898,['Anas Younes']
20828919,['Christopher G. Wood']
20829329,"['Gabriel N. Hortobagyi', 'Vicente Valero', 'Nuhad K. Ibrahim', 'Lajos Pusztai']"
20829717,['Alberto S. Pappo']
20830766,['Weijing Sun']
20830768,['Stuart H. Packer']
20831903,['Lewis R. Roberts']
20833855,['Stuart H. Packer']
20833970,"['Charles S. Fuchs', 'Umar Mahmood']"
20834213,['Vinod Ravi']
20834240,['Peter T. Scardino']
20836343,['Anees B. Chagpar']
20836671,['David P. Ryan']
20836684,['Jame Abraham']
20837355,"['Pamela T. Soliman', 'Lois M. Ramondetta', 'Kathleen M. Schmeler', 'Robert L. Coleman']"
20837357,['Joseph A. Sparano']
20837359,['Bradley J. Monk']
20837450,['Marc Ladanyi']
20837456,['Janakiraman Subramanian']
20837940,"['Anas Younes', 'Sonali M. Smith', 'Everett E. Vokes']"
20837944,"['Christopher Sweeney', 'Claire F. Verschraegen']"
20837947,['Patricia LoRusso']
20839030,['Henry C. Pitot']
20839032,['Kenneth J. Pienta']
20839057,['Jun Luo']
20839072,"['Luis A. Diaz', 'Timothy M. Pawlik', 'Richard D. Schulick']"
20840548,['Jorge A. Garcia']
20840671,['Djordje Atanackovic']
20841388,['Howard I. Scher']
20841507,['Richard A. Larson']
20842638,"['Alvaro Moreno-Aspitia', 'Angela Dispenzieri']"
20842843,['Yuan Yuan']
20843836,"['Charles S. Fuchs', 'David P. Ryan', 'Andrew X. Zhu']"
20843935,['Peter T. Scardino']
20844237,['Steven T. Rosen']
20844763,['Jedd D. Wolchok']
20845477,['James L. Abbruzzese']
20845478,"['Srdan Verstovsek', 'Aref Al-Kali', 'Elias Jabbour']"
20845479,['Elizabeth A. Mittendorf']
20846215,['Virginia G. Kaklamani']
20846689,['Christopher G. Wood']
20846714,"['John P. Fruehauf', 'Bradley J. Monk']"
20847059,['Julie E. Bauman']
20847617,['Jose G. Guillem']
20848412,['Richard J. Wong']
20848439,['Jeffrey Myers']
20848637,['Ching-Hon Pui']
20850148,"['Christopher G. Wood', 'Nizar M. Tannir']"
20850174,['Annekathryn Goodman']
20850381,"['Stephen E. Sallan', 'Lewis B. Silverman']"
20850637,['Michael P. La Quaglia']
20850706,['Tina J. Hieken']
20850924,['Marina Konopleva']
20851072,"['Michael Wang', 'Luis Fayad']"
20851682,"['Kostandinos Sideras', 'Anne M. Traynor']"
20852124,['Adam Brufsky']
20852631,"['Saundra S. Buys', 'Kenneth Offit', 'Fergus Couch']"
20852632,['Michael Carney']
20852633,['Michael Carney']
20853035,['Monica Morrow']
20853039,['Barbara A. Pockaj']
20853043,['Barbara A. Pockaj']
20853047,"['Elizabeth A. Mittendorf', 'Anthony Lucci', 'Funda Meric-Bernstam', 'Isabelle Bedrosian', 'Kelly Hunt']"
20853049,['David Euhus']
20853055,['Barbara A. Pockaj']
20853056,['Amy C. Degnim']
20853057,"['Elizabeth A. Mittendorf', 'Funda Meric-Bernstam', 'Isabelle Bedrosian', 'Kelly Hunt']"
20853062,"['Barbara A. Pockaj', 'Donald W. Northfelt']"
20853163,['Amy C. Degnim']
20854920,"['Philippe Armand', 'Edwin Alyea']"
20855460,"['William P. Tew', 'Steven M. Larson', 'Paul Sabbatini']"
20855462,"['William K. Oh', 'Mark Pomerantz']"
20855536,"['Stephen M. Ansell', 'Thomas E. Witzig', 'Timothy Call']"
20855753,"['Lily L. Lai', 'Vijay Trisal']"
20855800,"['Ann M. Gillenwater', 'Shreyaskumar Patel', 'Saroj Vadhan-Raj']"
20856146,['Craig L. Slingluff']
20857493,"['Vicente Valero', 'Naoto T. Ueno']"
20858700,['Steven Grant']
20858759,['Ashish M. Kamat']
20858837,['Phuoc T. Tran']
20858840,"['Eric P. Winer', 'Daniel P. Silver']"
20858843,"['David A. Scheinberg', 'Steven M. Larson']"
20858857,"['Martin S. Tallman', 'Richard A. Larson']"
20858859,['James B. Yu']
20858887,['George Wilding']
20859231,"['Patrick Hwu', 'Kevin Kim']"
20859709,['Yu Chen']
20861284,['Gabriel Lopez-Berestein']
20861285,['Nima Sharifi']
20861810,['Sarah E. Hoffe']
20862285,['Jedd D. Wolchok']
20862742,['William K. Oh']
20862746,['Joseph A. Sparano']
20863721,"['Antonio C. Wolff', 'Vered Stearns']"
20864266,"['Sam S. Yoon', 'Thomas F. DeLaney']"
20864273,"['Paul D. Brown', 'Joon H. Uhm', 'Jan C. Buckner', 'Evanthia Galanis']"
20864577,['Aaron Rapoport']
20864632,['Ingo K. Mellinghoff']
20864634,"['Lewis R. Roberts', 'Kevin C. Halling']"
20865737,['Aminah Jatoi']
20868553,['Joe Y. Chang']
20868976,['William R. Jarnagin']
20869036,['Nicole D. Fleming']
20869074,['Anees B. Chagpar']
20869082,['Robert J. Canter']
20869763,"['Pamela T. Soliman', 'Kathleen M. Schmeler']"
20870280,"['John P. Fruehauf', 'Bradley J. Monk']"
20871214,['Marc Ladanyi']
20871262,"['Gregory J. Riely', 'Mark G. Kris']"
20871263,['Everett E. Vokes']
20871264,['Prasad S. Adusumilli']
20871408,['Naveen Gupta']
20873987,['Ahmad A. Tarhini']
20873991,['Marc S. Ernstoff']
20874823,['Paul G. Richardson']
20875089,['Peter T. Scardino']
20875102,['Evan Hersh']
20875551,['Elias Jabbour']
20875872,['Eunice S. Wang']
20876420,"['Matthew P. Goetz', 'Vered Stearns', 'Paul E. Goss']"
20876421,['Mebea Aklilu']
20876426,"['Ching-Hon Pui', 'Lewis B. Silverman']"
20876744,"['Funda Meric-Bernstam', 'Kim-Anh Do']"
20876745,['Everett E. Vokes']
20876808,['John O. Schorge']
20878064,['Evanthia Galanis']
20878246,['Mahmoud El-Tamer']
20878269,"['Larry Norton', 'George Thomas Budd']"
20878837,['Barbara A. Parker']
20878861,['Winston Tan']
20880107,['Anas Younes']
20881269,['Edwin Choy']
20881474,['Annette M. Moore']
20881508,"['Patrick Hwu', 'Kevin Kim']"
20881637,['Alberto Chiappori']
20881645,['Bonnie S. Glisson']
20881767,['Stephen Swisher']
20882976,['Bhuvaneswari Ramaswamy']
20883948,['Jose G. Guillem']
20883956,['Leonard B. Saltz']
20883958,"['George J. Chang', 'Miguel A. Rodriguez-Bigas']"
20884250,['Isaac Yi Kim']
20884622,['Marc S. Ernstoff']
20885957,['Jack A. Roth']
20886582,['Cathy Eng']
20886606,"['Farhad Ravandi', 'Srdan Verstovsek', 'Guillermo Garcia-Manero']"
20887087,['Adam Brufsky']
20887837,['Theodore S. Hong']
20888137,['Charles L. Loprinzi']
20888271,"['Guru Sonpavde', 'William R. Berry', 'Mario A. Eisenberger']"
20888625,['Ritu Salani']
20888702,"['Jeffrey Y.C. Wong', 'Dennis C. Shrieve']"
20888840,['Jingsong Zhang']
20889728,"['Gabriel Lopez-Berestein', 'Robert C. Bast', 'Robert L. Coleman']"
20889916,['Patrick Hwu']
20889917,['Jeffrey E Rubnitz']
20919850,"['Kimberly Perez', 'Eric S. Winer']"
20920696,"['Fredrick B. Hagemeister', 'Saroj Vadhan-Raj', 'Luis Fayad']"
20920713,"['Michael P. La Quaglia', 'Nai-Kong V. Cheung', 'Brian H. Kushner']"
20920991,['Kenneth Offit']
20920999,"['Martin R. Weiser', 'Jose G. Guillem']"
20921210,['Amy B. Heimberger']
20921467,"['Karen Kelly', 'Roy S. Herbst']"
20921469,['Suzanne Shusterman']
20921543,['Leslie L. Robison']
20922492,"['Gregory T. Armstrong', 'Melissa M. Hudson', 'Leslie L. Robison']"
20922493,['Melissa M. Hudson']
20922575,['Vijay Trisal']
20922787,['Leslie L. Robison']
20922799,['James L. Abbruzzese']
20922803,['Jorge A. Garcia']
20922806,"['James L. Abbruzzese', 'Jason B. Fleming']"
20923040,['Hidayatullah G. Munshi']
20923857,"['Stephen Leong', 'Wells A. Messersmith', 'Todd Pitts']"
20924099,"['Jeffrey A. Meyerhardt', 'Kimmie Ng', 'Charles S. Fuchs']"
20924124,['Eunice S. Wang']
20924129,['Ajay Goel']
20924967,['Ajay Goel']
20925957,['Taiga Nishihori']
20926331,['Steven Grant']
20926773,"['Navneet S. Majhail', 'Ronald M. Sobecks']"
20927104,"['Robert G. Maki', 'Yu Chen', 'Ping Chi', 'Charles L. Sawyers']"
20927579,['John P. Fruehauf']
20927778,"['Jeffrey A. Meyerhardt', 'Charles S. Fuchs']"
20930042,"['Jack A. Roth', 'Stephen Swisher']"
20930068,['Francisco J. Hernandez-Ilizaliturri']
20930097,"['Winston Tan', 'Edith A. Perez']"
20930119,"['Lecia V. Sequist', 'Richard J. Lee']"
20930544,['Steven R. Grossman']
20932656,"['Sam S. Yoon', 'Edwin Choy', 'Thomas F. DeLaney']"
20932664,['Han Xiao']
20933246,"[""Sandra P. D'Angelo"", 'Mark G. Kris', 'Marc Ladanyi']"
20933255,['Dennis Chi']
20934323,"['Nai-Kong V. Cheung', 'Brian H. Kushner']"
20934766,"['Elizabeth A. Blair', 'Everett E. Vokes']"
20935157,['Heinz-Josef Lenz']
20935219,['Henry C. Pitot']
20935224,['Suzanne Shusterman']
20935254,['B. Douglas Smith']
20936324,['Heinz-Josef Lenz']
20937457,['Lewis R. Roberts']
20937524,['Stephen C. Rubin']
20938085,['Karen S. Anderson']
20938319,"['Robert J. Canter', 'William R. Jarnagin']"
20938713,"['Michael R. Grever', 'Bhuvaneswari Ramaswamy', 'John C. Byrd']"
20938744,['Marina Konopleva']
20939011,"['Rachel A. Freedman', 'Eric P. Winer']"
20939012,['Lajos Pusztai']
20940188,"['Pasi A. Janne', 'Rogerio Lilenbaum', 'Lecia V. Sequist']"
20940384,['Deborah Schrag']
20940394,['Seth Corey']
20940661,['Jeffrey Myers']
20943267,['Eunice S. Wang']
20943761,"['Stephen Leong', 'Todd Pitts']"
20943848,['Ursula A. Matulonis']
20944654,['Keith Flaherty']
20945319,"['Anthony Lucci', 'Funda Meric-Bernstam', 'Kelly Hunt', 'Barry W. Feig']"
20945321,['Elias Jabbour']
20946573,['Charis Eng']
20946574,['Gabriel N. Hortobagyi']
20946957,['Lewis R. Roberts']
20946966,"['Partow Kebriaei', 'Richard E. Champlin', 'Borje Andersson', 'Elizabeth J. Shpall']"
20947151,"['Mario M. Leitao', 'Dennis Chi']"
20947266,['Paul L. Nguyen']
20947430,['Ching-Hon Pui']
20947489,['Henry C. Pitot']
20947515,"['David S. Hong', 'Roy S. Herbst', 'Patricia LoRusso']"
20948315,['Karen E. Knudsen']
20948320,['Robert L. Coleman']
20948439,"['Jeffrey J. Molldrem', 'Richard E. Champlin', 'Patrick Hwu']"
20948440,['Craig L. Slingluff']
20949381,['Gerold Bepler']
20949448,['Luc Morris']
20949468,['Jun Luo']
20949568,"['Robert G. Maki', 'Samuel Singer']"
20950435,['Nai-Kong V. Cheung']
20950963,['Steven E. Schild']
20951248,['Smit Singla']
20951504,['Suzanne George']
20951919,['Frank A. Sinicrope']
20951946,['Don M. Benson']
20952022,['Karim A. Touijer']
20952035,['Peter T. Scardino']
20952123,"['Christopher G. Wood', 'Nizar M. Tannir']"
20952505,['Robert J. Motzer']
20952506,"['Geoffrey Shapiro', 'Pasi A. Janne']"
20952518,"['Marina Konopleva', 'Farhad Ravandi', 'Srdan Verstovsek']"
20953350,['Michael Wang']
20953809,['Abdulraheem Yacoub']
20955163,['Ashish M. Kamat']
20956097,['Arif Hussain']
20956525,['Hidayatullah G. Munshi']
20956621,['Alberto S. Pappo']
20956622,"['Michael R. Grever', 'John C. Byrd', 'Rebecca B. Klisovic']"
20956625,['Jaffer A. Ajani']
20956629,"['Paul G. Richardson', 'S. Vincent Rajkumar', 'Sergio Giralt']"
20956731,['Toni K. Choueiri']
20957159,['Jack A. Roth']
20957213,['Guillermo Garcia-Manero']
20957722,"['Thomas J. Smith', 'Jennifer Elston Lafata']"
20957980,['Jedd D. Wolchok']
20959401,"['Anthony Lucci', 'Naoto T. Ueno']"
20959472,"['Gabriel N. Hortobagyi', 'Vicente Valero', 'Lajos Pusztai']"
20960192,"['Jeffrey A. Meyerhardt', 'Jennifer A. Chan', 'Charles S. Fuchs', 'Andrew X. Zhu']"
20960497,"['Jaffer A. Ajani', 'Stephen Swisher']"
20960500,['Steven E. Schild']
20960502,"['Farhad Ravandi', 'Yesid Alvarado']"
20960519,"['Farhad Ravandi', 'Srdan Verstovsek', 'Elias Jabbour', 'Guillermo Garcia-Manero']"
20960520,['Peter T. Scardino']
20960521,"['Matt E. Kalaycio', 'Mikkael A. Sekeres']"
20960522,['Hagop M. Kantarjian']
20960525,"['Patrick Hwu', 'Kevin Kim']"
20960527,['Jorge A. Garcia']
20960573,['Stephen R. Grobmyer']
20961695,"['Harvey J. Mamon', 'Prajnan Das', 'Theodore S. Hong', 'Karen E. Hoffman']"
20962031,['Paul J. Shami']
20966307,['Annick D. Van Den Abbeele']
20966687,['Ann Klopp']
20966703,['Melissa M. Hudson']
20966781,['Peter Bach']
20967484,['Tianhong Li']
20970853,['Joseph P. Uberti']
20971497,['Nizar M. Tannir']
20971839,['Banu Arun']
20971884,"['Brian M. Wolpin', 'Charles S. Fuchs', 'Kala Visvanathan']"
20971952,['William G. Wierda']
20972334,['D. Ross Camidge']
20974025,['Willie Underwood']
20974809,['Setsuko K. Chambers']
20975071,['Robert G. Maki']
20975100,['Jeffrey E. Gershenwald']
20975102,"['Steven M. Larson', 'Howard I. Scher', 'Michael J. Morris']"
20975376,"['Michael P. La Quaglia', 'Leonard H. Wexler', 'Marc Ladanyi']"
20975377,['Frank C. Detterbeck']
20975380,['Lecia V. Sequist']
20975560,['Gerard M. Doherty']
20975603,['Tianhong Li']
20975604,"['Aminah Jatoi', 'Steven R Alberts']"
20976489,"['T. Peter Kingham', 'William R. Jarnagin']"
20976541,"['Claudine Isaacs', 'Minetta C. Liu', 'Karen L. Smith', 'Gina G. Chung']"
20976543,['Jennifer A. Ligibel']
20977275,['Karen S. Anderson']
20977700,['Steven E. Schild']
20977755,['Zihai Li']
20978144,['Emmanuel S. Antonarakis']
20978177,['William K. Oh']
20978178,['Fergus Couch']
20978198,['Sam S. Yoon']
20978267,['Stephen M. Ansell']
20978276,"['Patrick Hwu', 'Kevin Kim']"
20978761,['Yuan Yuan']
20978949,"[""Tracey L. O'Connor""]"
20979234,['Charis Eng']
20979469,"['Robert G. Maki', 'Ravi Salgia', 'Geoffrey Shapiro', 'Pasi A. Janne', 'Mark J. Ratain', 'D. Ross Camidge', 'Lecia V. Sequist']"
20979472,"['Robert G. Maki', 'Geoffrey Shapiro', 'George D. Demetri', 'Pasi A. Janne', 'Marc Ladanyi']"
20979652,['Edith A. Perez']
20980095,['Paul Russo']
20980108,['Mitchell Machtay']
20980485,['Barbara A. Parker']
20981510,['Elise D. Cook']
20981545,['Joseph A. Sparano']
20981691,"['Ching-Hon Pui', 'Melissa M. Hudson']"
21030346,['Michael E. Williams']
21030350,['William G. Wierda']
21030439,['David A. Scheinberg']
21030459,"['Geoffrey Shapiro', 'Pasi A. Janne']"
21030498,['Bruce E. Johnson']
21030553,['Stephen M. Ansell']
21030554,"['Farhad Ravandi', 'Elias Jabbour', 'Guillermo Garcia-Manero']"
21030877,['Nima Sharifi']
21030882,['Gregory A. Daniels']
21034909,['Richard D. Schulick']
21035952,['Curtiland Deville']
21035961,"['Paula Silverman', 'Beth Overmoyer']"
21036486,['Arif Hussain']
21036487,['Arif Hussain']
21036490,['David A. Reardon']
21036632,"['Annick D. Van Den Abbeele', 'Bruce E. Johnson', 'Pasi A. Janne']"
21036743,['Heinz-Josef Lenz']
21036793,['Charles S. Fuchs']
21036882,['Everett E. Vokes']
21037082,['Charles S. Fuchs']
21037086,"['Melissa M. Hudson', 'Leslie L. Robison']"
21040406,['Lewis R. Roberts']
21040948,"['Ana Aparicio', 'Patricia Troncoso']"
21041183,"['Setsuko K. Chambers', 'Mike Janicek']"
21041379,['Lajos Pusztai']
21041452,"['Stephen M. Ansell', 'Thomas E. Witzig']"
21041578,['Keith Flaherty']
21041716,"['Farhad Ravandi', 'Hagop M. Kantarjian']"
21042424,['David A. Scheinberg']
21042755,['Yuan Yuan']
21042887,"['Ann Klopp', 'Patricia J. Eifel']"
21042931,['Barbara A. Parker']
21042942,['William R. Jarnagin']
21043826,['Ravi Salgia']
21044312,"['Patricia Troncoso', 'Christopher Logothetis']"
21044351,['Michael B. Atkins']
21044374,['Patricia Troncoso']
21045138,"['Banu Arun', 'Gabriel N. Hortobagyi', 'Naoto T. Ueno']"
21045189,"['Jason B. Fleming', 'Matthew H. G. Katz']"
21045234,['Ravi Salgia']
21046260,['David Euhus']
21046264,['Roderich E. Schwarz']
21046425,['Lia Gore']
21047225,['Anas Younes']
21047561,['Navneet S. Majhail']
21047616,['Pamela T. Soliman']
21047686,['Michael Wang']
21047771,['Jeffrey E. Gershenwald']
21047977,"['Jeffrey Y.C. Wong', 'Leslie Popplewell']"
21047978,['Marc Ladanyi']
21048153,"['Thomas E. Witzig', 'Timothy Call', 'Tait D. Shanafelt']"
21048784,['Paul E. Goss']
21049517,"['Nai-Kong V. Cheung', 'Brian H. Kushner']"
21050131,['Adam Brufsky']
21050301,['Monica Morrow']
21050364,['Peter T. Scardino']
21051014,"['Igor Puzanov', 'Keith Flaherty']"
21051221,"['Wells A. Messersmith', 'Colin D. Weekes']"
21051275,"['Gerold Bepler', 'Shirish M. Gadgeel']"
21051972,"['Carol L. Brown', 'Yukio Sonoda', 'Dennis Chi']"
21051975,['Kathleen M. Schmeler']
21055388,['Lewis R. Roberts']
21055770,"['James Huang', 'Valerie W. Rusch']"
21055798,['Bradley J. Monk']
21056012,['Ferdinandos Skoulidis']
21057458,['Kala Visvanathan']
21059255,['Phuoc T. Tran']
21059853,['Michelle M. Le Beau']
21060031,['Charles L. Loprinzi']
21060036,['Charles L. Loprinzi']
21060860,"['Jeffrey N. Weitzel', 'Saundra S. Buys', 'Kenneth Offit', 'Fergus Couch']"
21061075,"['Elizabeth A. Mittendorf', 'Funda Meric-Bernstam', 'Gabriel N. Hortobagyi', 'Kelly Hunt', 'Lajos Pusztai']"
21062136,['James D. Griffin']
21062912,"['Michael Wang', 'Robert Z. Orlowski']"
21062931,['Jeffrey R. Gingrich']
21062932,['D. Ross Camidge']
21062977,['Phuoc T. Tran']
21063024,['Thomas E. Witzig']
21063027,"['Amado J. Zurita', 'Hagop M. Kantarjian']"
21063195,"['John A. Ridge', 'Ranee Mehra', 'Barbara Burtness']"
21063905,['Setsuko K. Chambers']
21068495,['Mitesh J. Borad']
21070078,['Dennis C. Shrieve']
21070435,['Monica Morrow']
21071926,['Trinity Bivalacqua']
21071992,['Marwan Fakih']
21072184,"['Michael R. Grever', 'John C. Byrd']"
21073351,['Elias Jabbour']
21073868,['Jue Wang']
21074063,['Jedd D. Wolchok']
21074066,['Mario Sznol']
21074194,"['Toni K. Choueiri', 'Ronald C. Chen', 'Paul L. Nguyen', 'Karen E. Hoffman']"
21074196,['Paul Russo']
21074201,['Toni K. Choueiri']
21074205,['Paul Russo']
21074214,['Otis W. Brawley']
21074697,['Jason B. Fleming']
21075015,['William R. Jarnagin']
21075308,['Gabriel N. Hortobagyi']
21075309,['Dineo Khabele']
21075328,['Kenneth J. Pienta']
21075434,['Robert L. Coleman']
21075438,['Joan L. Walker']
21075557,"['Tracy A. Balboni', 'Robert I. Haddad', 'Marshall R. Posner']"
21076395,['Charles Roberts']
21078205,['Guillermo Garcia-Manero']
21078547,['Margaret von Mehren']
21078787,['Steven M. Larson']
21079133,['Richard A. Larson']
21079154,['Vickie Massey']
21079521,['Julie R. Brahmer']
21080855,"['Olatoyosi Odenike', 'Nitin Jain']"
21080930,['Daniel P. Silver']
21080941,['Gabriel N. Hortobagyi']
21081714,['Jeffrey E. Gershenwald']
21081728,"['Leonard B. Saltz', 'Ghassan K. Abou-Alfa']"
21081882,['Loren K. Mell']
21081896,['Thomas E. Merchant']
21082920,"['Richard M. Stone', 'B. Douglas Smith']"
21082931,['Elias Jabbour']
21082947,['Auayporn Nademanee']
21083013,['Yesid Alvarado']
21083638,['Paul Russo']
21083798,['Timothy M. Pawlik']
21084259,['James L. Abbruzzese']
21084276,['Alexander J. Lazar']
21084964,"['Larry Norton', 'Kimberly J. Van Zee']"
21085629,"['Jennifer A. Chan', 'William K. Oh', 'Mark Pomerantz']"
21087453,['Guru Sonpavde']
21087679,"['Sergio Giralt', 'Richard E. Champlin', 'Borje Andersson', 'Paolo Anderlini', 'Elizabeth J. Shpall']"
21091147,['Farhad Ravandi']
21091976,"['Emmanuel S. Antonarakis', 'Mario A. Eisenberger']"
21092307,['Thomas E. Witzig']
21092993,"['James Huang', 'Valerie W. Rusch']"
21093167,['Thomas E. Merchant']
21093170,['Patricia J. Eifel']
21095071,"['Theodore S. Hong', 'David P. Ryan']"
21097651,['Charles S. Fuchs']
21098338,['Martin R. Weiser']
21098397,['Martin S. Tallman']
21098398,['John C. Byrd']
21098399,"['Richard A. Larson', 'Hagop M. Kantarjian']"
21098630,['Yu Chen']
21098714,['Patrick Hwu']
21098841,['Amy C. Degnim']
21099110,['Karen E. Knudsen']
21099601,['Amir A. Jazaeri']
21099603,"['Pamela T. Soliman', 'Patricia J. Eifel', 'Charles F. Levenback']"
21102360,"['Patrick Hwu', 'Kevin Kim']"
21104785,['Lewis R. Roberts']
21105029,['Charles S. Fuchs']
21105049,['Heinz-Josef Lenz']
21105118,"['Toni K. Choueiri', 'Jorge A. Garcia', 'M Dror Michaelson']"
21105126,['Mark Pomerantz']
