pmid,HGNC
16723714,ACTG1
16728275,CTLA4
16728282,NR4A3
16728282,CTLA4
16728934,CTLA4
16728934,RTEL1
16730060,CTLA4
16730237,EGFR
16730263,NR4A3
16730266,CTLA4
16730266,HLA-C
16730271,CYP19A1
16730272,CYP19A1
16730272,ACTG1
16731745,BRAF
16731745,AKT1
16732964,BCR
16732964,ABL1
16733646,NR4A3
16736568,DNMT1
16736978,EGFR
16736979,EGFR
16736979,ACTG1
16737674,CYP19A1
16737937,FLCN
16737940,CTLA4
16740703,EGFR
16740715,ACTG1
16740725,KIT
16740725,FH
16740761,EGFR
16740767,VEGFA
16740767,EGFR
16740767,KDR
16740767,AKT1
16740785,DNMT1
16741726,PGR
16741726,REST
16750315,DNMT1
16750497,DNMT1
16751059,ATM
16752073,CYP19A1
16753202,WHSC1L1
16754847,CTLA4
16754847,HLA-C
16756722,CTLA4
16756722,GLI1
16757127,ARID1A
16757360,ERBB2
16757360,BRAF
16757375,NTRK1
16757426,BCR
16757703,CTLA4
16758173,CTLA4
16759221,ALK
16760642,AKT1
16762634,AKT1
16763210,AKT1
16763792,PGR
16764755,VEGFA
16765534,NR4A3
16769276,BRCA1/2
16770783,MET
16770786,RIT1
16770786,RTEL1
16772123,MYC
16773562,YY1
16773562,PTEN
16774493,EGFR
16774938,MUTYH
16775224,CTLA4
16775234,BCR
16775234,ABL1
16775235,BCR
16775235,ABL1
16776978,ALK
16777685,NR4A3
16778177,MYCN
16778187,PTEN
16778987,CTLA4
16780552,DNMT1
16780552,INSR
16781489,BCR
16781489,ABL1
16782912,MET
16782913,REST
16782913,DNMT1
16782915,ESR1
16782915,MET
16785067,CTLA4
16787982,SDHD
16787982,VHL
16787982,RET
16787982,SDHB
16788159,VEGFA
16788380,VEGFA
16788380,EGFR
16788754,EGFR
16788754,AKT1
16791450,VEGFA
16791479,ESR1
16793542,BRCA1/2
16793542,ACTG1
16794235,CYP19A1
16796779,CTLA4
16796793,NR4A3
16797704,KIT
16799332,CTLA4
16799335,CTLA4
16800971,CYP19A1
16800971,DNMT1
16800976,CYP19A1
16807678,MYC
16807678,AKT1
16808432,CTLA4
16809160,EGFR
16809610,FANCA
16809614,BCR
16809731,EGFR
16810616,BCR
16815558,REST
16816134,RB1
16816380,EGFR
16818618,EGFR
16818618,ERBB2
16818652,BCR
16818663,CTLA4
16818686,EGFR
16818690,MTOR
16818690,AKT1
16818697,ARID1B
16818697,CTLA4
16819321,CTLA4
16819629,CTLA4
16819629,DNMT1
16821795,AR
16822295,BCR
16822295,ABL1
16822819,FANCA
16822819,EPHA3
16822819,ACTG1
16822843,MET
16822844,MET
16822845,CYP19A1
16830322,HGF
16832603,REST
16832603,DNMT1
16832676,RARA
16832676,RUNX1T1
16832816,DNMT1
16834459,MPL
16834459,EPOR
16834459,CSF3R
16834459,AKT1
16835228,PPARG
16835424,BRCA1/2
16840727,NR4A3
16842922,DNMT1
16842922,HGF
16843108,KMT2A
16843633,HGF
16844894,MAX
16847424,VEGFA
16847424,EGFR
16849543,EGFR
16849543,CBL
16849580,CTLA4
16849760,ESR1
16849760,FH
16855379,AR
16857802,EGFR
16857803,EGFR
16857815,EGFR
16857818,EGFR
16857820,EGFR
16857823,EGFR
16857824,EGFR
16857987,FLT1
16858170,CYP19A1
16858513,RASA1
16861913,RB1
16862152,VEGFA
16863934,ARID1A
16865596,ERBB2
16866093,MET
16867220,AKT1
16870548,NPM1
16870555,VEGFA
16870555,CTLA4
16870555,KDR
16872911,ATR
16872911,ATM
16874819,CALR
16874819,CYLD
16875937,ETV6
16877721,AR
16878326,EGFR
16879607,CTLA4
16879669,CTLA4
16879771,DDIT3
16880231,CYP19A1
16882502,RET
16882502,NTRK1
16883003,MET
16883601,RASA1
16885366,EGFR
16886662,MAP3K1
16886662,AKT1
16886663,MAX
16887285,DNMT1
16888034,CTLA4
16888034,APC
16890558,MET
16891464,IGF1
16891464,AKT1
16891476,EGFR
16891869,REST
16891869,NT5C2
16894292,ESR1
16894524,FANCC
16894527,ESR1
16894565,VEGFA
16894565,EGFR
16896000,PGR
16896004,FANCC
16896151,KMT2A
16896151,CTLA4
16896151,ETV6
16896931,PGR
16896931,KIT
16896931,AR
16897431,ESR1
16897431,CYP19A1
16897431,PGR
16899606,FLT1
16899611,CTLA4
16899614,NR4A3
16899614,MAX
16899627,IGF1
16899627,ATM
16899627,INSR
16899627,AKT1
16902153,KIT
16902153,FLT1
16902987,REST
16904605,VEGFA
16904605,MTOR
16904605,AKT1
16905974,FAT1
16906227,EGFR
16906227,AKT1
16906325,BCR
16906325,ABL1
16906325,KIT
16908054,RB1
16908592,CTLA4
16908594,YY1
16908594,AKT1
16908937,NR4A3
16909423,EGFR
16912159,PTEN
16912159,HGF
16912159,MTOR
16912159,EGFR
16912159,ACTG1
16912191,XIAP
16912191,ACTG1
16912191,AKT1
16912212,BRCA1/2
16912224,KIT
16914564,CTLA4
16914564,ACTG1
16914580,CTLA4
16914580,SDHB
16916489,MTOR
16916489,PTEN
16916489,AKT1
16916490,RIT1
16918262,ERBB2
16918262,AKT1
16921041,KIT
16921049,BCR
16923555,CTLA4
16923559,CTLA4
16925505,ACTG1
16925576,FH
16925576,AKT1
16928151,REST
16928523,IGF1
16928523,ACTG1
16928523,DNMT1
16928523,AKT1
16930623,MET
16936558,CTLA4
16937522,VEGFA
16939386,MTOR
16939386,AKT1
16941960,CTLA4
16942645,EGFR
16943394,APC
16943525,PGR
16943525,DNMT1
16943537,XIAP
16944541,DNMT1
16945480,MET
16945480,SOS1
16946209,BRCA1/2
16947023,CTLA4
16947084,IGF1
16948123,KIT
16948128,DNMT1
16948177,CTLA4
16948177,RTEL1
16951139,ERG
16951165,EGFR
16951165,MYC
16951169,AKT1
16951177,SRC
16951177,SDHB
16951235,NR4A3
16951235,MTOR
16951235,AKT1
16951381,NR4A3
16951381,CTLA4
16951381,HLA-C
16951382,CTLA4
16951382,ACTG1
16951382,APC
16951389,ERBB2
16954519,KIT
16954519,PDGFRA
16955504,BRCA1/2
16955507,DDIT3
16955510,PGR
16955510,DNMT1
16957969,DNMT1
16957969,SDHB
16957969,NTRK1
16963426,RASA1
16963665,EGFR
16963665,MYC
16965867,DNMT1
16966259,CTLA4
16966261,RTEL1
16969080,BCR
16969080,ABL1
16972901,CTLA4
16972955,CTLA4
16977374,CTLA4
16978908,BRCA1/2
16978908,ATM
16978971,NR4A3
16979445,ESR1
16979445,CTLA4
16979517,CTLA4
16979706,NR4A3
16982469,ESR1
16982549,MET
16982747,VEGFA
16982758,KIT
16982758,AKT1
16982770,VEGFA
16982770,AKT1
16982772,XIAP
16982772,FH
16982889,CTLA4
16983112,PGR
16983506,VEGFA
16983506,NR4A3
16983506,KDR
16983689,DNMT1
16984385,ACTG1
16984600,EGFR
16984600,DNMT1
16984600,AKT1
16985029,DNMT1
16985059,XIAP
16985059,NFKBIA
16985250,PGR
16986126,SRC
16986348,CYP19A1
16988578,ESR1
16988578,SRC
16988578,ABL1
16988578,BCR
16988581,DNMT1
16990112,CTLA4
16990112,MAX
16990857,EGFR
16996584,SDHB
16997175,RIT1
16997175,CTLA4
16997175,RTEL1
16998931,CTLA4
16998931,KIT
17000668,CREB1
17000668,MITF
17000681,DNMT1
17000682,MAX
17000687,CTLA4
17001181,MET
17002808,SMARCA2
17003380,BCR
17003380,ABL1
17003380,ETV6
17004113,ESR1
17004113,CYP19A1
17004113,NR4A3
17004113,MAF
17005597,ESR1
17007746,DNMT1
17008537,PGR
17008537,CTLA4
17010105,CTLA4
17010674,FH
17010674,MTOR
17011451,DNMT1
17011514,PTEN
17013882,VEGFA
17013882,BRD4
17015905,NTRK1
17016559,CTLA4
17019737,DNMT1
17020972,DNMT1
17020972,MYCN
17020988,CTLA4
17020993,CTLA4
17020999,ERBB2
17021353,BRCA1/2
17021817,RASA1
17021817,ESR1
17023585,CTLA4
17023774,CALR
17023784,DNMT1
17023822,CTLA4
17023822,MYCN
17026586,APC
17026790,EGFR
17026791,EGFR
17026791,DNMT1
17027658,RIT1
17030177,DNMT1
17033968,PTEN
17036522,ESR1
17036522,ERBB2
17036522,DNMT1
17037976,RET
17037976,MEN1
17037976,NTRK1
17043273,RET
17045089,VEGFA
17045089,VHL
17045203,MTOR
17045203,PTEN
17045203,AKT1
17045207,HLA-C
17045207,LYN
17045207,AKT1
17045403,EGFR
17047079,CTLA4
17047079,RTEL1
17049182,U2AF1
17050804,XIAP
17050804,EGFR
17050804,AKT1
17050875,EGFR
17050876,PGR
17050876,EGFR
17050876,AKT1
17051323,FLT1
17052295,EGFR
17054068,NR4A3
17061247,ESR1
17062681,RTEL1
17062727,BCR
17063086,MUTYH
17063086,CTLA4
17063466,ACTG1
17063503,EGFR
17063503,ERBB2
17064223,VEGFA
17064990,RTEL1
17064994,RTEL1
17065427,KRAS
17065427,BRAF
17066320,BRCA1/2
17067749,YY1
17068153,BCR
17068153,ABL1
17070363,YY1
17074815,RHOA
17075122,NR4A3
17075221,ARID1B
17076651,CTLA4
17077328,RARA
17077899,DNMT1
17079449,BRCA1/2
17079449,ACTG1
17079471,CTLA4
17079488,EGFR
17079488,DNMT1
17079807,REST
17080180,MET
17082323,AKT1
17082663,CTLA4
17083124,CALR
17084370,PGR
17084370,REL
17084539,DNMT1
17084718,DNMT1
17085664,EGFR
17085664,ABL1
17085664,KIT
17085671,GLI1
17085672,GLI1
17085672,RB1
17086168,KRAS
17086168,BRAF
17087936,KIT
17087936,PDGFRA
17087942,PTEN
17087942,BRAF
17087942,CDKN2A
17087942,APC
17088567,CALR
17088579,RET
17089000,ESR1
17090194,KIT
17090655,FANCA
17091096,FAT1
17091329,DNMT1
17092400,FANCC
17097560,FH
17097831,CALR
17099633,KIT
17099879,ESR1
17099879,DDIT3
17101732,CTLA4
17101944,PGR
17101944,ESR1
17102079,VHL
17102079,SDHD
17102079,SDHC
17102079,RET
17102079,SDHB
17103075,VEGFA
17106239,BRCA1/2
17106239,RB1
17106249,SDHB
17106252,BRCA1/2
17106252,FANCA
17107283,CYP19A1
17107284,NR4A3
17107303,NR4A3
17107911,BCR
17108101,ARID1A
17108119,AKT1
17108138,CTLA4
17108138,PRKAR1A
17109443,BRCA1/2
17110623,EGFR
17110624,CYP19A1
17110630,RTEL1
17111207,PGR
17111432,DNMT1
17111999,CYP19A1
17114658,EGFR
17114662,CALR
17116485,NPM1
17116485,FH
17116485,ALK
17118783,CTLA4
17120198,RTEL1
17121881,DNMT1
17121889,PGR
17121889,DNMT1
17121889,ESR1
17121915,IGF1
17121916,VEGFA
17121916,EGFR
17121916,KDR
17121928,BCR
17121928,ABL1
17121928,BRD4
17121928,MTOR
17122505,CTLA4
17122505,ALK
17122507,ESR1
17123883,MET
17124088,RTEL1
17130457,DNMT1
17131310,AKT1
17133412,RTEL1
17138131,NR4A3
17138817,BCR
17138817,ABL1
17138817,SRC
17139244,VEGFA
17141972,MET
17142033,VEGFA
17142309,REST
17143258,MDM2
17145527,DNMT1
17145827,RTEL1
17145834,EGFR
17145834,ACTG1
17145834,AKT1
17145836,EGFR
17145843,CTLA4
17145846,IGF1
17145885,EGFR
17149760,ERBB2
17150109,EGFR
17151364,BCR
17151364,ABL1
17152484,POLE
17153906,ESR1
17154172,BCR
17154172,NR4A3
17154172,ABL1
17156920,MET
17157164,NPM1
17157164,ALK
17157164,AKT1
17158546,VHL
17158750,AR
17158870,PTEN
17159013,PGR
17159013,ESR1
17159189,BRD4
17159191,BRCA1/2
17159193,CYP19A1
17159988,RUNX1T1
17160137,RB1
17161498,EGFR
17162215,RTEL1
17163168,VEGFA
17164332,VEGFA
17164332,MYC
17164350,XIAP
17164350,NFKBIA
17164350,CTLA4
17164350,AKT1
17164380,ERCC2
17164380,ERCC5
17167516,RET
17167516,PTEN
17172414,FLT1
17172414,AKT1
17172422,AR
17172427,VEGFA
17172427,CTLA4
17175373,MYC
17175373,YY1
17176979,RTEL1
17177598,EGFR
17178862,PTEN
17178862,AKT1
17178881,EGFR
17178881,CTLA4
17178899,AR
17179059,ESR1
17179059,BCR
17179059,ABL1
17179059,SRC
17179228,MTOR
17179228,FOXO1
17179228,AKT1
17183556,REST
17185368,BCR
17189382,CTLA4
17189392,VHL
17189397,EGFR
17189404,DNMT1
17189670,EGFR
17190831,SRC
17192875,CTLA4
17194661,CTLA4
17194661,ALK
17194661,FAT1
17196508,BRCA1/2
17196508,ACTG1
17196908,ATM
17197431,RUNX1T1
17197928,BRCA1/2
17197928,ERBB2
17197970,DNMT1
17198079,MET
17198263,DNMT1
17200352,KIT
17200352,PDGFRA
17200362,PPARG
17200371,VEGFA
17200371,CTLA4
17200371,KDR
17205534,CTLA4
17208388,CALR
17208388,MAX
17208389,DNMT1
17210514,SDHB
17210709,EGFR
17210709,CTLA4
17210709,KDR
17210709,SDHB
17210717,RUNX1T1
17210722,IGF1
17210722,INSR
17210731,HLA-C
17210938,DNMT1
17211865,EGFR
17214797,ERBB2
17214797,ACTG1
17214855,ESR1
17214855,EGFR
17214855,ERBB2
17218385,BCR
17218385,CTLA4
17218385,LYN
17218385,SRC
17218385,ABL1
17218385,FH
17218635,AR
17218636,ERBB2
17219441,MET
17219444,DNMT1
17220331,ESR1
17220331,BRCA1/2
17220341,KMT2A
17221152,ESR1
17221152,IGF1
17221152,CYP19A1
17222748,FLT1
17222792,VEGFA
17223922,MET
17224516,AKT1
17227902,PGR
17228019,EGFR
17228019,KRAS
17229322,KIT
17229335,CTLA4
17229337,CTLA4
17233846,PGR
17233846,CTLA4
17233846,RTEL1
17234779,AKT1
17234790,FH
17235455,PTEN
17235455,AKT1
17236224,BCR
17236224,NR4A3
17236224,ABL1
17237261,IGF1
17237261,INSR
17237287,EGFR
17237287,AKT1
17237620,AKT1
17237623,MAP3K1
17237623,AKT1
17238184,APC
17238982,ESR1
17238982,PGR
17239264,ERBB2
17239264,CTLA4
17239287,VEGFA
17239287,KDR
17239930,KRAS
17239930,BRAF
17239930,IGF1
17239930,AKT1
17241515,VEGFA
17241515,EGFR
17243159,DNMT1
17243159,MYCN
17243941,MTOR
17245541,BRCA1/2
17250461,MTOR
17250889,KMT2A
17252290,DDIT3
17254038,EGFR
17255257,PTEN
17255291,ARID1A
17255304,MET
17255306,VEGFA
17255306,VHL
17255306,MTOR
17255307,VEGFA
17256054,EGFR
17257083,CYP19A1
17257402,XIAP
17257424,ERBB2
17257424,FAT1
17257753,HGF
17259234,BRD4
17259234,AR
17259349,CTLA4
17259349,MTOR
17259349,MYC
17259349,AKT1
17259563,EGFR
17259563,AKT1
17259930,EGFR
17264295,DNMT1
17264298,BCR
17264298,ABL1
17264298,SRC
17264303,ACTG1
17264303,AKT1
17264331,PGR
17264340,SDHB
17266767,ESR1
17266767,CYP19A1
17267331,ESR1
17270052,ACTG1
17270239,KRAS
17270239,BRAF
17270239,IGF1
17275032,ESR1
17275176,MAX
17275176,MYC
17276588,CTLA4
17276588,DNMT1
17276619,DNMT1
17277252,DNMT1
17280828,BRD4
17283122,MET
17283122,SOS1
17283145,BCR
17283145,ABL1
17283145,CTLA4
17283145,ARID1B
17283173,EGFR
17283173,SRC
17283363,XIAP
17283363,CTLA4
17283363,FH
17284528,CTLA4
17284528,AKT1
17284964,CTLA4
17285598,MET
17285735,EGFR
17288874,MET
17288874,SOS1
17288876,KIT
17289868,CALR
17289885,CYLD
17289894,EGFR
17290058,CALR
17290066,EGFR
17290067,EGFR
17290308,IGF1
17290308,MTOR
17290308,PTEN
17290308,AKT1
17291336,DNMT1
17292738,ESR1
17292738,BCR
17292738,ABL1
17292738,SRC
17293384,ERBB2
17293384,EGFR
17293384,CTLA4
17293864,ATM
17293864,CUX1
17295084,DNMT1
17299404,EGFR
17299404,CTLA4
17301249,APC
17301269,BRCA1/2
17301956,RB1
17302189,BRCA1/2
17303514,CYP19A1
17303698,BCR
17303698,ABL1
17307666,RTEL1
17308046,VEGFA
17308046,EGFR
17308046,KDR
17308046,AKT1
17308059,CALR
17308059,AKT1
17308065,XIAP
17308065,FH
17308080,EGFR
17308080,XIAP
17308080,AKT1
17308108,MET
17308108,SDHB
17308272,DNMT1
17308274,CYLD
17308274,CTLA4
17308850,MET
17311534,EGFR
17311534,KIT
17311534,MET
17311991,CTLA4
17313157,ESR1
17313157,CYP19A1
17314339,PTEN
17315232,FLT1
17317816,BCR
17317816,ABL1
17317816,SRC
17317822,CALR
17317822,AKT1
17317832,EGFR
17317832,MAX
17317832,AKT1
17317853,FH
17318900,MET
17318900,SOS1
17319857,ERBB2
17321324,BCR
17322284,MET
17322284,CALR
17322284,SOS1
17322284,AKT1
17324336,CTLA4
17324462,PGR
17324462,MET
17325064,VEGFA
17325342,CTLA4
17325887,BCR
17325887,NR4A3
17325897,RTEL1
17326047,ESR1
17326047,BCR
17326047,ABL1
17326106,VEGFA
17327408,U2AF1
17327603,ETV6
17327609,CTLA4
17327856,EGFR
17327916,MYCN
17327916,ALK
17329190,ESR1
17329190,EGFR
17329515,NF2
17330846,ESR1
17332349,GLI1
17332364,EGFR
17334343,ERG
17334408,ESR1
17334408,GNAS
17334983,PGR
17334983,CTLA4
17335294,VEGFA
17335294,ESR1
17335294,DDIT3
17335294,RTEL1
17335294,CTLA4
17336213,TERT
17336253,BCR
17336255,FLT1
17336451,AR
17339237,KRAS
17339237,IGF1
17340592,VEGFA
17341483,PTEN
17341662,KMT2A
17341666,CTLA4
17342569,DNMT1
17342766,BCR
17344859,IKZF3
17344859,IKZF1
17347491,NR4A3
17347896,RET
17349580,EGFR
17349583,CTLA4
17350581,BRCA1/2
17350669,KRAS
17350669,BRAF
17350669,IGF1
17351022,DNMT1
17351921,EGFR
17351921,AKT1
17352373,NR4A3
17354015,CTLA4
17355221,BCR
17355221,ABL1
17360461,CTLA4
17360461,HLA-C
17360660,KIT
17363476,EGFR
17363476,AKT1
17363510,EGFR
17363510,PTEN
17363532,AKT1
17363542,CTLA4
17363602,SRC
17363611,CTLA4
17364553,PGR
17364553,ERBB2
17364553,ESR1
17367611,CTLA4
17367937,ACTG1
17367939,ARID1A
17368189,SRC
17368189,BRD4
17368189,EIF4E
17368903,CYP19A1
17369752,EGFR
17369752,ERBB2
17372251,PTEN
17372251,AKT1
17372613,CREB1
17372613,EIF4E
17372756,IGF1
17372901,PDGFRA
17372901,SRC
17372901,ABL1
17372901,KIT
17372901,BRAF
17373675,CTLA4
17377740,RECQL4
17380207,ETV6
17380438,PGR
17380530,CTLA4
17380530,RTEL1
17382013,BCR
17382013,ABL1
17382018,BCR
17382018,ABL1
17382020,BCR
17382020,ABL1
17382271,VEGFA
17382271,VHL
17382271,IGF1
17382271,MTOR
17382271,EGFR
17382271,MEN1
17382702,VHL
17382727,NR4A3
17382793,DNMT1
17383597,RTEL1
17384201,IGF1
17384201,FANCA
17384201,CTLA4
17384201,FH
17384209,BRAF
17385194,PGR
17386122,CYP19A1
17386122,ACTG1
17387296,MET
17387299,CTLA4
17389244,RUNX1T1
17392388,VEGFA
17392388,MTOR
17392502,REST
17392714,AR
17393165,EGFR
17393165,KDR
17393425,ALB
17393425,IGF1
17393425,CTCF
17395784,YY1
17398023,CALR
17399877,BRD4
17401085,NTRK1
17403535,BCR
17403535,ABL1
17404081,ERBB2
17404082,EGFR
17404082,CTLA4
17404082,AR
17404087,ESR1
17404087,FANCC
17404091,MAX
17404091,DNMT1
17404092,CTLA4
17404094,VEGFA
17404095,ERBB2
17404098,CTLA4
17404098,FH
17404109,MET
17404109,MITF
17404109,AKT1
17404365,YY1
17405772,PTEN
17405772,AKT1
17405897,EGFR
17405897,DNMT1
17409275,AKT1
17409392,FH
17409397,ERBB2
17409409,NR4A3
17409416,EGFR
17409416,AKT1
17409429,ACTG1
17409437,KDR
17409796,CTLA4
17409801,EGFR
17409804,NR4A3
17409860,MET
17409862,EGFR
17409862,ERBB2
17409862,KRAS
17409872,DNMT1
17409880,MET
17409902,CALR
17409912,FEV
17409930,EGFR
17409935,MET
17409951,EGFR
17409995,MET
17409999,EGFR
17410000,EGFR
17410030,MET
17410535,DNMT1
17410536,NFKBIA
17410536,FANCA
17413980,DNMT1
17414465,RTEL1
17414466,RTEL1
17414604,MET
17414604,MSH2
17415091,CYP19A1
17415527,ATR
17415527,ATM
17415527,BRCA1/2
17417711,KIT
17418973,DNMT1
17419150,KIT
17420284,CTLA4
17420980,MET
17426081,RASA1
17427173,DNMT1
17429623,MAX
17429623,APC
17429874,CYP19A1
17429874,ATM
17431114,IGF1
17431114,INSR
17431114,AKT1
17431125,MET
17431125,SOS1
17431887,BCR
17431887,ABL1
17434254,ESR1
17435179,ALB
17435539,KIT
17436128,CTLA4
17438669,EGFR
17440052,CTLA4
17440059,CBL
17440059,MET
17440091,RASA1
17440727,PGR
17440727,NR4A3
17446547,DNMT1
17448867,MET
17452630,PTEN
17452651,NR4A3
17452676,ESR1
17452676,PGR
17455868,CTLA4
17456787,EGFR
17457220,ERBB2
17457302,BCR
17457302,ABL1
17457362,CD79A
17459051,BCR
17460510,MET
17460787,VEGFA
17460787,KDR
17461740,BCR
17461740,ABL1
17462408,DNMT1
17463172,CD79A
17463250,EGFR
17463250,MET
17466083,BRCA1/2
17468948,ESR1
17468948,FANCC
17470866,MET
17473062,VEGFA
17473062,CTLA4
17473184,NR4A3
17473198,MAX
17473200,MAX
17473657,EGFR
17473657,PTEN
17474983,KRAS
17474983,BRAF
17474983,IGF1
17475958,NR4A3
17475958,DNMT1
17483310,RB1
17483313,KIT
17483332,SRC
17483332,MYC
17483332,AKT1
17483361,MYC
17483362,ACTG1
17483362,PTEN
17483362,AKT1
17483369,AKT1
17484269,CYP19A1
17487277,EGFR
17487277,BRAF
17487277,KRAS
17487729,DDIT3
17487856,MET
17488685,BCR
17488685,ABL1
17492768,RHOA
17493263,ESR1
17493263,BRCA1/2
17493263,ERBB2
17493263,MYC
17493325,BCR
17493325,ABL1
17495523,EGFR
17496201,SRC
17496201,ABL1
17496201,BCR
17496901,MTOR
17496901,PTEN
17496901,AKT1
17497648,PGR
17498529,BRCA1/2
17499289,ESR1
17499430,DNMT1
17499461,ERBB2
17499461,HGF
17504985,VEGFA
17504988,EGFR
17504988,KRAS
17504990,MUTYH
17505204,BRCA1/2
17505204,MET
17507346,ATM
17507797,YY1
17510384,DNMT1
17510423,KRAS
17510423,BRAF
17512451,VEGFA
17512909,AKT1
17513464,ACTG1
17513515,KMT2A
17513804,NR4A3
17514741,RASA1
17514743,MET
17515399,CTLA4
17515573,DNMT1
17515574,CTLA4
17515897,FANCA
17517479,ATM
17522250,DNMT1
17522864,XIAP
17529992,PGR
17535989,SDHD
17535989,PDGFRA
17535989,SDHC
17535989,KIT
17535989,SDHB
17538169,EGFR
17538169,AKT1
17538175,AKT1
17540438,ESR1
17540843,IGF1
17541031,EPCAM
17541034,CTLA4
17541799,YY1
17542527,IGF1
17543584,MAX
17544599,ARID1A
17545195,EGFR
17545520,CTLA4
17545537,MAX
17545538,NR4A3
17545550,AKT1
17545608,YY1
17545700,CTLA4
17546631,ESR1
17548041,VEGFA
17548041,RET
17548041,MTOR
17551302,NR4A3
17551310,VEGFA
17551310,CTLA4
17552954,MET
17553165,YY1
17553165,AR
17555368,EGFR
17559140,BCR
17559882,NR4A3
17559882,AR
17560336,PTEN
17560336,AKT1
17560447,DNMT1
17561129,FAT1
17562488,FAT1
17562488,AKT1
17564324,BCR
17564324,ABL1
17564326,CTLA4
17565155,AKT1
17568191,AR
17569105,ESR1
17570567,CTLA4
17570567,HLA-C
17570734,BRCA1/2
17571080,MUTYH
17574040,CTLA4
17574329,CTLA4
17575107,ATM
17575107,BRAF
17575138,CYP19A1
17575138,MTOR
17575138,AKT1
17575145,EGFR
17575145,PTEN
17575145,AKT1
17575165,CTLA4
17575320,YY1
17577018,ERG
17577018,NPM1
17577018,FLT1
17577220,MAX
17577220,MTOR
17577220,AKT1
17577222,VEGFA
17579227,BRCA1/2
17580262,MET
17580262,CTLA4
17582215,REST
17582598,ATM
17582598,ACTG1
17583545,EGFR
17586092,PGR
17587208,ERBB2
17588356,KIT
17588358,VEGFA
17588358,KIT
17588358,FLT1
17588628,CYP19A1
17591570,DNMT1
17591929,KRAS
17591929,BRAF
17591929,IGF1
17591931,EGFR
17591931,KRAS
17593331,CTLA4
17594721,PGR
17595328,BCR
17595328,CTLA4
17595328,LYN
17595328,ABL1
17595328,FH
17595333,PGR
17595333,RTEL1
17597184,FOXO1
17597348,BRCA1/2
17597477,DNMT1
17602073,NR4A3
17602224,EGFR
17603629,RB1
17604500,VEGFA
17604501,BCR
17604501,ABL1
17604501,AKT1
17605814,VEGFA
17605814,KDR
17606728,VEGFA
17608763,PGR
17609425,VEGFA
17609425,NFKBIA
17609425,MYC
17609874,GATA3
17609874,NR4A3
17611545,BRCA1/2
17611701,SMO
17612393,SDHB
17613328,RB1
17613438,EGFR
17613756,RTEL1
17615291,CTLA4
17615291,RTEL1
17615536,EGFR
17616457,SRC
17616457,EGFR
17616457,CYP19A1
17616457,MTOR
17616662,MST1R
17616662,MST1
17616662,AKT1
17616663,BRD4
17616663,MYC
17616663,AR
17616663,PTEN
17616676,RB1
17616676,AR
17617207,EGFR
17618407,MET
17618678,MET
17619759,ALB
17620426,FLT1
17620427,SRC
17620763,CYP19A1
17621591,KRAS
17621591,BRAF
17621591,IGF1
17623836,BCR
17623836,ABL1
17623837,EGFR
17624289,MET
17624814,HGF
17625066,BCR
17627006,BRCA1/2
17627006,ACTG1
17627275,FH
17629669,DNMT1
17631143,DNMT1
17634423,EGFR
17634491,TERT
17634492,PGR
17634532,FANCC
17634540,DNMT1
17634540,MST1
17634550,SDHB
17634558,BCR
17634558,CTLA4
17634558,LYN
17634558,ABL1
17634558,FH
17634561,BRCA1/2
17634830,EGFR
17634830,KRAS
17635889,FAT1
17638669,MYC
17638860,ERBB2
17638862,EGFR
17638873,FAT1
17640728,PGR
17641033,FANCA
17641033,CTLA4
17641362,BRCA1/2
17641366,CTLA4
17642017,BCR
17642017,ABL1
17644122,ARID1A
17644731,IGF1
17644731,HLA-C
17644731,AKT1
17646271,BRCA1/2
17646383,RASA1
17646383,AKT1
17652619,CTLA4
17652619,FH
17652620,BCR
17664471,EGFR
17665267,DNMT1
17666367,DNMT1
17666987,EGFR
17667499,MET
17667521,RASA1
17667521,ARID1A
17667522,CTLA4
17667967,SDHD
17667967,PDGFRA
17667967,SDHC
17667967,KIT
17667967,SDHB
17671085,EGFR
17671085,AKT1
17671129,CTLA4
17671138,ATM
17671138,CYP19A1
17671138,KDR
17671138,AKT1
17671141,CTLA4
17671142,RTEL1
17671145,ARID1A
17671153,VEGFA
17671153,KDR
17671155,BCR
17671155,ABL1
17671157,AKT1
17671203,EGFR
17671235,CEBPA
17671502,ERG
17671721,APC
17671985,EGFR
17673607,EGFR
17674963,ESR1
17675184,ERBB2
17675184,CTLA4
17675554,RUNX1T1
17676035,KRAS
17676035,CTLA4
17676035,CDKN2A
17676052,KRAS
17676052,CDKN2A
17679089,AR
17679728,EGFR
17679729,ESR1
17680835,BRCA1/2
17683072,ERBB2
17685852,CTLA4
17688927,SDHB
17689649,MET
17690209,ERG
17690209,FEV
17690212,BRAF
17692126,CYP19A1
17692805,CYLD
17692805,CTLA4
17694324,VEGFA
17694324,CTLA4
17694551,CSF1R
17696797,CYP19A1
17697968,ESR1
17697968,DDIT3
17697968,RTEL1
17698101,ESR1
17698101,RASA1
17699009,FAT1
17699799,IGF1
17699847,CTLA4
17699851,MYC
17699858,MET
17699867,KIT
17701582,RTEL1
17702746,MET
17702746,CTLA4
17702746,SOS1
17702746,AKT1
17704410,MET
17704413,AR
17704418,MET
17704420,EGFR
17706167,CTLA4
17707063,CTLA4
17707197,INSR
17707840,DNMT1
17709799,RTEL1
17710158,CTLA4
