pmid,HGNC
12085234,CTLA4
12086670,KIT
12086670,MITF
12086863,EGFR
12086863,CDKN2A
12086872,BCR
12086872,KMT2A
12086872,ABL1
12086872,ETV6
12086882,BCR
12086882,ABL1
12086889,RUNX1T1
12091333,BCR
12091333,ABL1
12091334,CTLA4
12091357,YY1
12092855,RASA1
12094542,NR4A3
12095911,IGF1
12095911,PTEN
12095911,AKT1
12095969,ESR1
12095969,MET
12095969,FAT1
12096084,BRCA1/2
12096085,NR4A3
12097257,BRCA1/2
12097269,ESR1
12097302,CALR
12099190,ESR1
12099577,ACTG1
12100142,VEGFA
12100142,KDR
12101424,KMT2A
12101426,AXIN1
12108902,DNMT1
12108918,EIF4E
12109342,FAT1
12111119,CTLA4
12111649,REST
12111649,DNMT1
12111649,SDHB
12113048,CYP19A1
12114403,NR4A3
12114403,CTLA4
12114413,BCR
12114417,BCR
12114417,ABL1
12114418,BCR
12114418,ABL1
12114422,CTLA4
12114423,ESR1
12114423,ABL1
12114423,CTLA4
12114448,ACTG1
12115328,CTLA4
12115341,FANCC
12115341,ERBB2
12115351,REST
12115355,DNMT1
12115478,EGFR
12119278,PTEN
12119278,AKT1
12122002,ACTG1
12123536,ERBB2
12123536,AR
12124170,FLT1
12124173,FLT1
12124177,BCR
12124177,ABL1
12124177,AKT1
12124833,PGR
12128129,CALR
12138396,ERBB2
12138402,IGF1
12139741,CTLA4
12142558,REST
12142558,CTLA4
12149051,CYP19A1
12149200,CTLA4
12149200,ACTG1
12149203,CTLA4
12149226,YY1
12149290,DNMT1
12149292,NR4A3
12149300,RTEL1
12149306,CYP19A1
12149307,CYP19A1
12149456,BCR
12149456,ABL1
12149456,SRC
12149644,ERBB2
12149644,AKT1
12153163,RTEL1
12153184,CTLA4
12154042,IGF1R
12154042,IGF1
12161080,PGR
12161751,BCR
12161751,ABL1
12161751,ACTG1
12162686,CTLA4
12162819,CDKN2A
12162911,CTLA4
12163369,PTEN
12163369,NR4A3
12163369,MSH2
12163369,AKT1
12163460,INSR
12165506,ERBB2
12165506,CTLA4
12168084,DNMT1
12168088,VEGFA
12168088,PTEN
12170570,DNMT1
12170773,SDHA
12171483,CTLA4
12171905,VEGFA
12171905,DNMT1
12173037,IGF1
12173037,XIAP
12173037,AKT1
12173327,PGR
12173333,BCR
12173333,ABL1
12173340,FOXP1
12173347,MYCN
12176867,FLT1
12176876,BCR
12176916,BCR
12177113,RARA
12181401,KIT
12182434,DNMT1
12183422,CTLA4
12183422,SDHB
