pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,pred
11857295,0.5239273905754089,0.011491179466247559,0.011489887721836567,0.38414591550827026,0.011489379219710827,0.011490804143249989,0.011491531506180763,0.011490870267152786,0.011492571793496609,0.011490467004477978,topic0
11920650,0.014578411355614662,0.014563696458935738,0.868876039981842,0.01457213331013918,0.014560332521796227,0.014562486670911312,0.014580228365957737,0.014575689099729061,0.014562842436134815,0.014568167738616467,topic2
11937012,0.012047753669321537,0.012041708454489708,0.012043301947414875,0.8916096091270447,0.012040415778756142,0.01204175129532814,0.012044135481119156,0.012043001130223274,0.012045035138726234,0.012043323367834091,topic3
11952243,0.011330023407936096,0.011324647814035416,0.011325260624289513,0.011326548643410206,0.011324713006615639,0.011333421804010868,0.898051381111145,0.011327235959470272,0.011327560991048813,0.011329264380037785,topic6
11968084,0.014109151437878609,0.014105260372161865,0.014132331125438213,0.01410716213285923,0.014099832624197006,0.014109118841588497,0.014106771908700466,0.873016893863678,0.014107249677181244,0.014106234535574913,topic7
11979419,0.6913230419158936,0.011051368899643421,0.011050272732973099,0.011050470173358917,0.22027237713336945,0.011050536297261715,0.011050309054553509,0.011051740497350693,0.011049875058233738,0.011050009168684483,topic0
11986192,0.011884002946317196,0.011882666498422623,0.011881268583238125,0.01188256498426199,0.011883656494319439,0.011884001083672047,0.011882282793521881,0.011882119812071323,0.8930537700653076,0.011883613653481007,topic8
12010861,0.013389757834374905,0.013379482552409172,0.013403113931417465,0.013381365686655045,0.013394705019891262,0.8795006275177002,0.013383995741605759,0.013381972908973694,0.013380134478211403,0.013404841534793377,topic5
12013286,0.011988998390734196,0.011987537145614624,0.011992189101874828,0.0119881397113204,0.011987178586423397,0.011990436352789402,0.011992858722805977,0.8920931816101074,0.011989631690084934,0.011989773251116276,topic7
12023792,0.3987579047679901,0.01275206170976162,0.012750980444252491,0.012753785587847233,0.012750017456710339,0.012752249836921692,0.012752541340887547,0.10306152701377869,0.05367814749479294,0.3679908215999603,topic0
12067995,0.01925467699766159,0.019261592999100685,0.019275711849331856,0.019256383180618286,0.8266169428825378,0.01926361955702305,0.019276922568678856,0.01926315948367119,0.019266579300165176,0.019264398142695427,topic4
