pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,pred
12006924,0.0,0.0,0.21624162793159485,0.0,0.0,0.0,0.631190299987793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic6
12454112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7179179787635803,0.0,0.1730542927980423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
12513965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4975523054599762,0.0,0.39146754145622253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
12516851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8843796849250793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic12
12518377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5306552052497864,0.0,0.34010791778564453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic9
12573754,0.0,0.0,0.0,0.3155854642391205,0.0,0.0,0.0,0.0,0.0,0.166130930185318,0.0,0.3970658481121063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic11
12735144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13515421748161316,0.0,0.0,0.0,0.7492751479148865,0.0,0.0,0.0,0.0,topic15
12847361,0.0,0.0,0.0,0.5748934149742126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2888435423374176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic3
12909219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048296671360731125,0.0,0.8237981796264648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic11
14530668,0.0,0.0,0.8610115647315979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic2
14701779,0.0,0.0,0.6627988815307617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20750103890895844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic2
15112245,0.0,0.0,0.0,0.0,0.0,0.5262491106987,0.0,0.0,0.0,0.3514825105667114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
15137959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10194975137710571,0.0,0.0,0.7689489126205444,0.0,0.0,0.0,0.0,0.0,topic14
15137960,0.0,0.0,0.0,0.0,0.0,0.8610846400260925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic5
15137963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8602140545845032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic11
15484343,0.010624296963214874,0.010624297894537449,0.1688590794801712,0.010624300688505173,0.010624297894537449,0.010624305345118046,0.010624299757182598,0.010624312795698643,0.010624297894537449,0.010624299757182598,0.010624297894537449,0.01062430627644062,0.010624297894537449,0.21115459501743317,0.010624302551150322,0.010624297894537449,0.010624297894537449,0.439373254776001,0.010624298825860023,0.010624299757182598,topic17
15519780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8475877642631531,0.0,0.0,0.0,0.0,0.0,0.0471155121922493,0.0,0.0,topic11
15555204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8755362629890442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,topic12
15592657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8833720684051514,0.0,0.0,0.0,0.0,0.0,topic14
