pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,pred
10079468,0.010731820948421955,0.9034134149551392,0.010730672627687454,0.010728201828897,0.010741201229393482,0.010731849819421768,0.010732648894190788,0.01073208637535572,0.010728798806667328,0.010729254223406315,topic1
11781252,0.013930161483585835,0.01393297128379345,0.013928852044045925,0.01392430905252695,0.8745703101158142,0.013972696848213673,0.0139284273609519,0.013936744071543217,0.013937597163021564,0.013937918469309807,topic4
11821445,0.013050703331828117,0.01305234432220459,0.013057245872914791,0.013054648414254189,0.013052038848400116,0.013051951304078102,0.0130597660318017,0.8825052976608276,0.013057100586593151,0.01305890828371048,topic7
11861270,0.01843247190117836,0.018430223688483238,0.8340981602668762,0.01844240538775921,0.018431436270475388,0.018434228375554085,0.018432626500725746,0.018438609316945076,0.018428195267915726,0.018431710079312325,topic2
11877262,0.011583643034100533,0.011584931053221226,0.011585545726120472,0.011583748273551464,0.01159963570535183,0.011585439555346966,0.011584466323256493,0.8957263231277466,0.011582395993173122,0.011583894491195679,topic7
11914627,0.01347002200782299,0.0134667893871665,0.013467756099998951,0.0134673360735178,0.32142403721809387,0.013468937017023563,0.013463251292705536,0.0134638212621212,0.013465351425111294,0.5708427429199219,topic9
11932905,0.011875241994857788,0.011878473684191704,0.011878457851707935,0.011877586133778095,0.011876466684043407,0.24819344282150269,0.6567850112915039,0.01187855377793312,0.011877340264618397,0.011879443190991879,topic6
11976731,0.013255209662020206,0.01325677614659071,0.013254770077764988,0.013254097662866116,0.2530224919319153,0.013255718164145947,0.013256469741463661,0.640934944152832,0.013254509307444096,0.013255015015602112,topic7
11979552,0.015281248837709427,0.015290037728846073,0.015291581861674786,0.015282949432730675,0.8624313473701477,0.015283486805856228,0.01528118271380663,0.015290330164134502,0.015283058397471905,0.015284773893654346,topic4
11983866,0.0118454210460186,0.011860856786370277,0.011845912784337997,0.011842266656458378,0.011860082857310772,0.011842457577586174,0.011846492998301983,0.011842447333037853,0.01184072159230709,0.8933733105659485,topic9
11986204,0.010454262606799603,0.010461224243044853,0.010453017428517342,0.010455220937728882,0.905891478061676,0.010457418859004974,0.01045481488108635,0.010460547171533108,0.010453160852193832,0.010458908975124359,topic4
11986206,0.010532476007938385,0.01053385529667139,0.010532150976359844,0.010533141903579235,0.010534664615988731,0.010535726323723793,0.010539919137954712,0.9051908850669861,0.010531716048717499,0.010535488836467266,topic7
11986238,0.8806416392326355,0.013261723332107067,0.013258651830255985,0.013263070024549961,0.013291584327816963,0.013262010179460049,0.013254876248538494,0.013260794803500175,0.013251453638076782,0.013254203833639622,topic0
11993784,0.011418277397751808,0.011421045288443565,0.011420457623898983,0.011417210102081299,0.011423028074204922,0.011420490220189095,0.8972231149673462,0.011419982649385929,0.011418120004236698,0.011418276466429234,topic6
12036931,0.012991582974791527,0.883050262928009,0.012994580902159214,0.012991901487112045,0.012997088953852654,0.012992857955396175,0.012998586520552635,0.012997991405427456,0.01299196481704712,0.012993192300200462,topic1
12044239,0.011734225787222385,0.011737935245037079,0.7756766080856323,0.011733698658645153,0.13044334948062897,0.011736183427274227,0.011735472828149796,0.011733836494386196,0.011733518913388252,0.01173511054366827,topic2
12091333,0.012004734948277473,0.7022369503974915,0.01200632844120264,0.012003730051219463,0.012005056254565716,0.012003852985799313,0.2017262727022171,0.012005461379885674,0.012003814801573753,0.012003850191831589,topic1
12114413,0.013987562619149685,0.01398919802159071,0.01399613544344902,0.013991798274219036,0.014000212773680687,0.013990734703838825,0.013993351720273495,0.5486428737640381,0.33940961956977844,0.013998531736433506,topic7
12114417,0.011292208917438984,0.011297083459794521,0.011291627772152424,0.011292975395917892,0.011293993331491947,0.011293408460915089,0.01129398588091135,0.011293567717075348,0.011291000992059708,0.8983600735664368,topic9
12124177,0.013084463775157928,0.013084573671221733,0.01308502722531557,0.013084577396512032,0.013094067573547363,0.8822035193443298,0.013093622401356697,0.013091129250824451,0.013091320171952248,0.013087664730846882,topic5
12149203,0.011480869725346565,0.011483792215585709,0.011486385017633438,0.8966469168663025,0.011483658105134964,0.011484450660645962,0.01148216612637043,0.01148415170609951,0.011483295820653439,0.011484267190098763,topic3
12161355,0.014176873490214348,0.014180832542479038,0.8723634481430054,0.01418634969741106,0.014180161990225315,0.014182722195982933,0.014178838580846786,0.014181629754602909,0.014184540137648582,0.01418460626155138,topic2
12173333,0.01294041983783245,0.012945092283189297,0.01293895486742258,0.012936609797179699,0.012943064793944359,0.012946030125021935,0.012938880361616611,0.0129398163408041,0.012940734624862671,0.8835304379463196,topic9
12176876,0.012761379592120647,0.2508520185947418,0.01276352908462286,0.012765933759510517,0.012762186117470264,0.012762638740241528,0.6470485925674438,0.012762433849275112,0.012759820558130741,0.012761455960571766,topic6
12200353,0.010948634706437588,0.28155264258384705,0.010948996990919113,0.010950195603072643,0.010949982330203056,0.010954262688755989,0.6308455467224121,0.010951731353998184,0.010947724804282188,0.010950285010039806,topic6
12209598,0.01114558894187212,0.8996954560279846,0.011145750060677528,0.01114303432404995,0.011147573590278625,0.011146900244057178,0.011142322793602943,0.011144105345010757,0.011144256219267845,0.011145037598907948,topic1
12209733,0.014635233208537102,0.014637965708971024,0.014635927975177765,0.014635107479989529,0.8682705760002136,0.014636777341365814,0.014637168496847153,0.014638087712228298,0.014636189676821232,0.014636940322816372,topic4
12359762,0.011125463992357254,0.01112967636436224,0.8998528718948364,0.01112729124724865,0.011129800230264664,0.011127578094601631,0.011124949902296066,0.011125284247100353,0.011128689162433147,0.011128381825983524,topic2
12365015,0.011414486914873123,0.01142831239849329,0.011420265771448612,0.011416114866733551,0.011415259912610054,0.89723801612854,0.011416756547987461,0.011416619643568993,0.011413831263780594,0.01142034213989973,topic5
12374452,0.4748587906360626,0.015753280371427536,0.015741858631372452,0.1677968055009842,0.015742959454655647,0.015741996467113495,0.01576085388660431,0.015740742906928062,0.015736810863018036,0.24712586402893066,topic0
12393385,0.015076842159032822,0.8642964363098145,0.015077054500579834,0.015077304095029831,0.015080096200108528,0.015078536234796047,0.015077007934451103,0.015082113444805145,0.015076917596161366,0.015077676624059677,topic1
12393600,0.014093447476625443,0.8731257319450378,0.014095522463321686,0.014105976559221745,0.01409431453794241,0.014099951833486557,0.01409520860761404,0.014096373692154884,0.01409386657178402,0.014099576510488987,topic1
12410573,0.013214267790317535,0.013214957900345325,0.013214205391705036,0.01321395579725504,0.01321319304406643,0.013212709687650204,0.01321277767419815,0.8810789585113525,0.013211973942816257,0.01321298535913229,topic7
12411300,0.011250562034547329,0.4305897355079651,0.011252302676439285,0.011256618425250053,0.011252261698246002,0.011251755990087986,0.01125157717615366,0.011252328753471375,0.011251242831349373,0.47939160466194153,topic9
12528773,0.010919622145593166,0.01092209666967392,0.01091971155256033,0.010920827277004719,0.9017088413238525,0.010921856388449669,0.010925810784101486,0.010923458263278008,0.01091919094324112,0.010918525978922844,topic4
12560227,0.015740390866994858,0.015744753181934357,0.015742585062980652,0.19925396144390106,0.015745079144835472,0.015752462670207024,0.015740977600216866,0.015742402523756027,0.015740327537059784,0.674796998500824,topic9
12569603,0.32730036973953247,0.5749123692512512,0.01222247164696455,0.01222292147576809,0.012221001088619232,0.012222571298480034,0.012225283309817314,0.012225795537233353,0.01221997756510973,0.012227208353579044,topic1
12576334,0.011320572346448898,0.27553483843803406,0.6338867545127869,0.011317219585180283,0.011333074420690536,0.011327400803565979,0.01132085919380188,0.0113223847001791,0.011317318305373192,0.011319578625261784,topic2
12576416,0.013637406751513481,0.013636933639645576,0.013637557625770569,0.013636539690196514,0.877265989780426,0.013636832125484943,0.013636672869324684,0.013637866824865341,0.013636847957968712,0.013637339696288109,topic4
12599231,0.01139095053076744,0.011393614113330841,0.011391677893698215,0.01140441745519638,0.011390206404030323,0.011392378248274326,0.01139578502625227,0.8974575996398926,0.011390790343284607,0.011392655782401562,topic7
12614767,0.017026767134666443,0.0170269962400198,0.017025191336870193,0.017026344314217567,0.017027197405695915,0.017025550827383995,0.8467651009559631,0.017026443034410477,0.01702459529042244,0.017025800421833992,topic6
12618518,0.016831887885928154,0.016838811337947845,0.016833078116178513,0.0168320219963789,0.016842132434248924,0.01683633215725422,0.016834089532494545,0.01683409884572029,0.01683362014591694,0.8484839797019958,topic9
12631595,0.016004156321287155,0.016005534678697586,0.016005707904696465,0.01600482128560543,0.01600354164838791,0.016005052253603935,0.016004426404833794,0.016008252277970314,0.01600261963903904,0.8559558987617493,topic9
12637470,0.014267751947045326,0.014271914027631283,0.6613675355911255,0.014279721304774284,0.014273046515882015,0.014270004816353321,0.014269628562033176,0.22445940971374512,0.014269349165260792,0.014271657913923264,topic2
12712475,0.013897758908569813,0.013902487233281136,0.013898798264563084,0.013896149583160877,0.013897605240345001,0.013901377096772194,0.013897829689085484,0.8749136328697205,0.01389616820961237,0.013898185454308987,topic7
12714892,0.013611485250294209,0.013606119900941849,0.01360535528510809,0.01361113227903843,0.013601685874164104,0.7543246746063232,0.13681155443191528,0.013608170673251152,0.013606006279587746,0.013613833114504814,topic5
12755554,0.010435420088469982,0.010435884818434715,0.010434980504214764,0.010434750467538834,0.3181694447994232,0.5983468890190125,0.01043592020869255,0.010435710661113262,0.010435324162244797,0.010435603559017181,topic5
12766881,0.011339548975229263,0.011341343633830547,0.011340228840708733,0.8979252576828003,0.011340826749801636,0.011344444006681442,0.011340171098709106,0.011344161815941334,0.011338330805301666,0.0113456342369318,topic3
12783368,0.012968421913683414,0.7241498827934265,0.01296780351549387,0.012966962531208992,0.17209556698799133,0.01297419611364603,0.012969953007996082,0.012970520183444023,0.012968242168426514,0.01296843122690916,topic1
12784336,0.01471899077296257,0.014724341221153736,0.014719297178089619,0.014719597063958645,0.014727761037647724,0.8674991726875305,0.014727549627423286,0.014720642939209938,0.014719878323376179,0.014722798019647598,topic5
12879469,0.01185744721442461,0.011861813254654408,0.011860404163599014,0.011860460042953491,0.01186326052993536,0.011861380189657211,0.8932543396949768,0.011862920597195625,0.011857172474265099,0.011860840022563934,topic6
