pmid,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,pred
12100691,0.014546091668307781,0.8690443634986877,0.014551594853401184,0.014553659595549107,0.014552540145814419,0.014548756182193756,0.014548219740390778,0.014546317979693413,0.014555389061570168,0.014553098939359188,topic1
12203106,0.013253703713417053,0.013259914703667164,0.013253740034997463,0.013262991793453693,0.013262519612908363,0.8806894421577454,0.013253568671643734,0.013253252021968365,0.013254191726446152,0.01325667928904295,topic5
12447847,0.013466647826135159,0.013470054604113102,0.013468816876411438,0.8787727952003479,0.013469959609210491,0.013472484424710274,0.013473124243319035,0.013467288576066494,0.013468556106090546,0.013470272533595562,topic3
12670468,0.012804429978132248,0.012811709195375443,0.012805134057998657,0.012811579741537571,0.012807740829885006,0.012804540805518627,0.884733259677887,0.0128065450116992,0.012807916849851608,0.012807128019630909,topic6
12816862,0.012985498644411564,0.013008898124098778,0.012986225076019764,0.013008000329136848,0.012995034456253052,0.8830726742744446,0.012985769659280777,0.012982809916138649,0.012987871654331684,0.012987238354980946,topic5
14755378,0.013568785041570663,0.01356904674321413,0.013567234389483929,0.877879798412323,0.013569317758083344,0.013570208102464676,0.013574165292084217,0.013566015288233757,0.013569187372922897,0.013566233217716217,topic3
15061219,0.019207555800676346,0.01921290159225464,0.01920805498957634,0.01921151764690876,0.01921153999865055,0.019207721576094627,0.019213039427995682,0.01920766569674015,0.019208012148737907,0.8271120190620422,topic9
15737878,0.01582573726773262,0.015845859423279762,0.01582740992307663,0.015842434018850327,0.015839822590351105,0.01582670398056507,0.8575066924095154,0.015826335176825523,0.01582961343228817,0.015829386189579964,topic6
15761021,0.014661907218396664,0.014683564193546772,0.01466498151421547,0.014668852090835571,0.8679998517036438,0.01466478779911995,0.014664752408862114,0.014661752618849277,0.01466295588761568,0.01466657780110836,topic4
15899772,0.01721947081387043,0.017220590263605118,0.01722041144967079,0.8450190424919128,0.01722303405404091,0.017220091074705124,0.017222562804818153,0.01721736416220665,0.017219625413417816,0.017217839136719704,topic3
16393677,0.015928946435451508,0.015934806317090988,0.015934394672513008,0.015936650335788727,0.015935879200696945,0.0159353818744421,0.8565971255302429,0.015928659588098526,0.015932254493236542,0.01593588851392269,topic6
16497968,0.011340510100126266,0.011347928084433079,0.8978926539421082,0.011351275257766247,0.011349751614034176,0.011343415826559067,0.011344886384904385,0.011341942474246025,0.011342864483594894,0.011344805359840393,topic2
16549109,0.013902220875024796,0.013916635885834694,0.013905329629778862,0.01391665730625391,0.01390787959098816,0.013903887942433357,0.013904238119721413,0.013903671875596046,0.8748357892036438,0.013903683982789516,topic8
16990110,0.013271179050207138,0.013279931619763374,0.013272341340780258,0.880544900894165,0.013272770680487156,0.013271413743495941,0.01327234786003828,0.013271670788526535,0.013271568343043327,0.013271897099912167,topic3
17107901,0.013557130470871925,0.87796950340271,0.013557735830545425,0.013564487919211388,0.013558749109506607,0.013557834550738335,0.013558591715991497,0.013557822443544865,0.01355911698192358,0.013559000566601753,topic1
17145843,0.012713202275335789,0.012720092199742794,0.8826455473899841,0.01563725806772709,0.012713531032204628,0.012711790390312672,0.012715503573417664,0.012709501199424267,0.012714886106550694,0.012718741782009602,topic2
18039954,0.013917887583374977,0.013936035335063934,0.013920588418841362,0.013930580578744411,0.013934755697846413,0.013920187018811703,0.013919553719460964,0.013918254524469376,0.8746751546859741,0.013926967978477478,topic8
18613994,0.012662536464631557,0.012670963071286678,0.012663138099014759,0.012674366123974323,0.012661769986152649,0.012660768814384937,0.8860227465629578,0.012659760192036629,0.012661140412092209,0.012662863358855247,topic6
18798533,0.013167358003556728,0.013176309876143932,0.013172075152397156,0.013184904120862484,0.8814544081687927,0.013167701661586761,0.013168120756745338,0.01316823996603489,0.013170666061341763,0.013170216232538223,topic4
19778849,0.012552428990602493,0.012559379450976849,0.012553111650049686,0.012576333247125149,0.012553584761917591,0.012551648542284966,0.012551720254123211,0.8869891166687012,0.012553883716464043,0.0125588309019804,topic7
19814690,0.015909850597381592,0.015914535149931908,0.01591038890182972,0.015913276001811028,0.015920337289571762,0.01590929925441742,0.01591401733458042,0.01590944081544876,0.01590997539460659,0.8567888736724854,topic9
19814694,0.013868204317986965,0.8751673698425293,0.01386856660246849,0.013880067504942417,0.013869594782590866,0.013868425972759724,0.013869410380721092,0.013868972659111023,0.013868873007595539,0.01387050561606884,topic1
19814695,0.015743248164653778,0.015752268955111504,0.015745876356959343,0.015758706256747246,0.015745211392641068,0.015743793919682503,0.015744522213935852,0.01574426144361496,0.015744158998131752,0.8582779765129089,topic9
19843881,0.010707003064453602,0.9036247730255127,0.010708756744861603,0.010712366551160812,0.010707817040383816,0.010707352310419083,0.010709665715694427,0.010706805624067783,0.010707967914640903,0.010707488283514977,topic1
20045559,0.022697769105434418,0.022700751200318336,0.022698478773236275,0.022705109789967537,0.022698361426591873,0.022698309272527695,0.022702740505337715,0.022697601467370987,0.7957020401954651,0.022698841989040375,topic8
21220590,0.01087078358978033,0.2348213493824005,0.010871602222323418,0.2623105049133301,0.010873563587665558,0.010874043218791485,0.010873155668377876,0.42675912380218506,0.010871303267776966,0.01087456475943327,topic7
21417822,0.011672231368720531,0.011684161610901356,0.011675549671053886,0.011692649684846401,0.8948956727981567,0.011674181558191776,0.011675376445055008,0.011674315668642521,0.011676358059048653,0.01167948916554451,topic4
21438839,0.8479658961296082,0.016896668821573257,0.016890130937099457,0.016900546848773956,0.016899093985557556,0.01688876934349537,0.01689012534916401,0.01688705012202263,0.01689090207219124,0.016890831291675568,topic0
21463116,0.012140808627009392,0.16532829403877258,0.012142413295805454,0.012151609174907207,0.012143244035542011,0.012141239829361439,0.01214587315917015,0.012142045423388481,0.7375189065933228,0.012145589105784893,topic8
21599604,0.012071585282683372,0.012080970220267773,0.012072939425706863,0.295261949300766,0.012073993682861328,0.012075178325176239,0.012073989026248455,0.012071916833519936,0.01207373384386301,0.6081438064575195,topic9
21821712,0.012946105562150478,0.8834441900253296,0.012952281162142754,0.012947285547852516,0.012949797324836254,0.01294772233814001,0.012948168441653252,0.012951092794537544,0.012951542623341084,0.012961841188371181,topic1
22355053,0.011382251977920532,0.8975843191146851,0.011380202136933804,0.011380408890545368,0.01137905940413475,0.011380619369447231,0.011377944611012936,0.011377425864338875,0.011378523893654346,0.01137930154800415,topic1
22706871,0.01666673831641674,0.01667718030512333,0.016670148819684982,0.016677115112543106,0.016674865037202835,0.8499535918235779,0.01667563058435917,0.016666334122419357,0.01666913367807865,0.016669267788529396,topic5
24408202,0.023490797728300095,0.7885775566101074,0.02349097467958927,0.023492394015192986,0.02349172718822956,0.023490771651268005,0.02349114418029785,0.023490792140364647,0.023490818217396736,0.023493049666285515,topic1
24652320,0.0,0.0,0.0,0.2543887794017792,0.0,0.0,0.0,0.0,0.0,0.666236400604248,topic9
24871132,0.015478984452784061,0.8606546521186829,0.015481987968087196,0.015508187003433704,0.015481691807508469,0.015481768175959587,0.015479502268135548,0.015476839616894722,0.015479443594813347,0.015476993285119534,topic1
24978916,0.863756537437439,0.015147046186029911,0.015132961794734001,0.015150865539908409,0.01514129526913166,0.015142525546252728,0.015140472911298275,0.015127687714993954,0.015128498896956444,0.015132147818803787,topic0
25110197,0.011332838796079159,0.011334313079714775,0.011330369859933853,0.898017168045044,0.011332651600241661,0.011330217123031616,0.011330917477607727,0.011329777538776398,0.011330350302159786,0.01133133377879858,topic3
25563425,0.012386821210384369,0.012390404008328915,0.012388238683342934,0.2196609228849411,0.012383942492306232,0.01238400861620903,0.012384194880723953,0.012383327819406986,0.6812509894371033,0.012387107126414776,topic8
25583765,0.020450981333851814,0.020452558994293213,0.020451998338103294,0.8159307837486267,0.020451568067073822,0.020451394841074944,0.020451275631785393,0.0204508975148201,0.020453723147511482,0.02045479603111744,topic3
26096944,0.01547284610569477,0.8607062697410583,0.015474600717425346,0.015504110604524612,0.015475171618163586,0.015472219325602055,0.015475654974579811,0.01547123771160841,0.015473025850951672,0.015474887564778328,topic1
26352686,0.011428470723330975,0.011436705477535725,0.01142980344593525,0.011440319940447807,0.8971055150032043,0.01143344771116972,0.011431084014475346,0.011428876779973507,0.011433640494942665,0.011432199738919735,topic4
26614894,0.012883068062365055,0.8840317130088806,0.012884905561804771,0.012893901206552982,0.01288377121090889,0.012885641306638718,0.012885164469480515,0.012883009389042854,0.012885041534900665,0.012883787974715233,topic1
26614901,0.013291237875819206,0.013293207623064518,0.013292070478200912,0.8803700804710388,0.013292528688907623,0.013291009701788425,0.013291380368173122,0.013293372467160225,0.013292406685650349,0.01329265907406807,topic3
26614906,0.019622964784502983,0.01962645724415779,0.8233707547187805,0.019635330885648727,0.019625118002295494,0.01962478645145893,0.01962297596037388,0.01962289586663246,0.019624676555395126,0.019624046981334686,topic2
27903528,0.011569824069738388,0.011572613380849361,0.011571379378437996,0.895857036113739,0.01157199963927269,0.011570366099476814,0.011570325121283531,0.011570379137992859,0.011572416871786118,0.011573630385100842,topic3
28778620,0.012888056226074696,0.012898709625005722,0.012890122830867767,0.8839673399925232,0.012900212779641151,0.012891785241663456,0.012891964055597782,0.012890673242509365,0.012888546101748943,0.012892608530819416,topic3
28801450,0.015610403381288052,0.015614118427038193,0.01561124436557293,0.8594974875450134,0.015612786635756493,0.015610706061124802,0.015610513277351856,0.015610751695930958,0.015610592439770699,0.015611379407346249,topic3
29118233,0.01597762666642666,0.01598883420228958,0.856164276599884,0.015992308035492897,0.015979347750544548,0.015979254618287086,0.01597966067492962,0.015977857634425163,0.0159810371696949,0.015979787334799767,topic2
29487070,0.01279914565384388,0.3385292887687683,0.012795542366802692,0.012795724906027317,0.01280105672776699,0.012802384793758392,0.012799924239516258,0.012795365415513515,0.012798655778169632,0.5590829253196716,topic9
29955146,0.012032689526677132,0.012034919112920761,0.012035569176077843,0.01203728374093771,0.8916892409324646,0.01203239057213068,0.012042062357068062,0.012029998935759068,0.012032791040837765,0.012033108621835709,topic4
30030507,0.011572789400815964,0.011586109176278114,0.8957979679107666,0.011578001081943512,0.011590767651796341,0.011575070209801197,0.011575452983379364,0.011573078110814095,0.01157456636428833,0.011576162651181221,topic2
30181415,0.013043628074228764,0.013045144267380238,0.013046381063759327,0.8825954794883728,0.01304471492767334,0.01304551586508751,0.013044002465903759,0.013044124469161034,0.013047570362687111,0.013043479062616825,topic3
30197362,0.014287938363850117,0.014290044084191322,0.014289399608969688,0.014298610389232635,0.014287951402366161,0.014291185885667801,0.8713904023170471,0.014287099242210388,0.014287922531366348,0.014289457350969315,topic6
