pmid,tsne1,tsne2
11895894,-2.30645,43.22077
11895896,-12.765887,42.283638
11895897,-2.7004046,44.6275
11895899,-13.28424,47.052704
11895908,-15.657232,-35.214687
11895923,5.7818327,-20.975508
11896096,7.810284,47.66583
11896097,17.45722,14.237127
11896101,19.664017,-23.687517
11896107,20.31032,33.877087
11896109,10.960318,43.80023
11896111,55.96872,-0.33436403
11896112,-26.215807,34.899208
11896119,-30.034477,25.318426
11896622,-34.64688,-36.490795
11896624,0.21513174,-42.32025
11899114,-37.813385,21.490839
11899362,3.546237,50.25511
11900499,59.025124,4.180922
11901001,-11.526866,13.5132065
11901151,-41.740753,-36.245895
11901478,-10.120303,-8.99546
11901538,-4.306082,32.806587
11901913,8.075462,12.484112
11903469,-13.5683775,17.85869
11904316,26.62919,-39.98987
11907462,-10.006006,28.192024
11907463,-21.307762,1.3977178
11907465,-6.398604,-1.3613544
11908714,8.183998,-14.399123
11909978,-33.801476,-24.904278
11912139,-41.99326,-36.716785
11912144,-36.078823,-23.137571
11912152,-4.6204486,-37.938683
11912162,-25.312216,-26.86533
11912165,-27.736599,-15.679774
11912386,40.547897,-20.172997
11914621,14.068411,-15.436677
11914627,10.16286,-27.092596
11914909,-0.08751256,48.06804
11916486,-31.561975,-9.050921
11917287,24.792686,6.3310533
11918080,-25.170626,-24.30896
11918881,12.872402,0.06288113
11919237,-5.809171,27.914354
11920455,40.41606,-5.409987
11920466,-4.6283903,-30.324778
11920502,3.7470684,25.922415
11920509,-44.157093,14.21402
11920510,15.94324,-27.700178
11920518,-16.141397,7.928616
11920650,12.066412,-42.519737
11920733,-4.764197,-34.13128
11920777,29.693333,-20.143398
11920786,56.671356,-3.7156076
11921013,-21.302992,24.609724
11921272,-40.480713,12.744185
11921273,-40.585308,12.586475
11923128,13.034862,27.584219
11923129,32.36058,-18.29881
11923132,33.621105,-10.688245
11924911,0.81906676,-43.41149
11924912,-24.7633,6.160877
11925131,-12.070454,-14.37505
11926890,-17.32618,-48.623814
11926891,3.0677717,-26.411558
11927614,-31.04759,-9.533192
11927966,13.732069,-17.475481
11928795,-0.07912403,1.9200623
11929326,33.075455,-37.9828
11929341,5.112235,20.70928
11929790,-46.291424,6.089346
11929949,50.44488,-8.610198
11930874,0.5212257,-11.75142
11932470,18.764826,-41.87593
11932905,-31.433546,28.385006
11932906,-34.770035,25.78724
11932907,21.831615,-25.873415
11932911,4.9577875,-29.938953
11932912,46.07574,0.5154446
11933076,-32.96468,-27.390024
11934346,10.657448,-0.32279813
11937011,24.254318,7.8016586
11937012,11.30454,4.1337004
11937431,23.377033,-42.07429
11939869,56.460266,0.1975875
11942045,-1.6759971,-9.988588
11942410,-29.687117,1.2628399
11943706,-11.666234,-38.169537
11948101,-39.50997,18.573679
11948141,-29.030235,-15.926787
11948274,38.871304,-17.862152
11948493,5.1050806,-32.125698
11948567,39.59863,-22.293861
11951208,8.8263,-2.2176876
11952243,20.960176,-0.8301375
11955607,9.428077,-16.421429
11955624,-41.49927,-32.315975
11955651,6.5961986,42.15477
11955727,9.691637,37.653816
11955738,31.075233,29.915752
11955742,7.822055,47.22152
11956072,-17.340399,-48.610672
11956076,-39.075542,-28.797817
11956257,10.835816,16.163754
11956260,-33.50033,34.9472
11956261,39.351154,-20.93923
11956266,-26.05091,5.5575385
11956267,-26.056004,5.539014
11956269,-18.743948,24.397734
11956271,-19.069508,25.006289
11956279,-13.318955,49.623203
11956426,-28.101843,4.710911
11956645,3.7492697,-46.61584
11957149,7.6298723,-22.421326
11958890,31.238321,-13.896618
11958896,19.836157,8.451508
11960379,-38.83435,-25.24192
11960384,-33.686665,-25.749287
11961058,-43.754765,-24.445692
11961199,50.73771,4.5785685
11961204,-38.799576,26.874092
11964319,-36.82649,-25.91837
11965231,-22.808535,2.7259994
11965234,-32.460995,8.616344
11966385,50.92776,-9.299736
11967901,-21.51917,22.002161
11968000,-15.949915,6.5069466
11968084,8.699257,-43.070858
11970761,-23.857973,28.46698
11970763,-19.387875,16.301268
11970766,-27.119688,29.708324
11970966,-34.67437,0.15376791
11971195,-35.773876,-30.061256
11972090,26.517328,36.431286
11972091,-30.236715,43.487328
11972094,-21.945444,23.221512
11972400,37.769096,10.458023
11972406,-10.323698,13.516733
11975672,32.227726,8.124571
11975947,11.243389,-12.587656
11975969,8.051067,-16.862846
11976731,-48.45621,21.726147
11976831,-12.389594,46.612556
11979419,10.838058,2.5282793
11979552,-40.0215,10.535093
11980673,-28.089783,-38.636944
11980999,15.608212,26.285595
11981001,-41.282986,12.544439
11981003,-6.969585,-20.678345
11981010,24.302816,-9.9975815
11981011,18.53977,-16.051971
11981210,15.980713,-38.17237
11981219,20.199183,-23.946337
11981269,24.039305,-30.52373
11981275,9.669546,-1.5436054
11981281,-5.6267376,0.6785852
11983866,-31.112299,-1.430235
11986023,23.150837,-4.124154
11986185,-0.8653758,-24.075415
11986192,25.826015,-0.25373915
11986195,-30.426657,1.4198494
11986204,-32.650944,29.484295
11986206,-31.632275,27.512102
11986230,-40.047634,10.623888
11986232,-29.255026,1.9329996
11986238,-42.004505,2.4128208
11986403,4.796721,-45.294544
11988246,15.285108,-43.78958
11988408,51.161564,-17.193249
11988838,-19.74331,-28.762596
11990305,19.431395,9.084169
11990694,20.915741,8.912655
11991243,-35.004578,15.464316
11992049,15.713239,-8.137414
11992182,-17.95857,18.259884
11992760,-16.877167,16.200005
11992800,-14.161154,2.3329248
11993784,-48.505646,21.796257
11994589,32.437183,-20.171711
11994980,-45.69882,1.7828227
11994983,9.434672,-12.99048
11997559,20.793344,-15.297329
11998794,-27.51919,16.338411
11999950,16.097069,16.78503
12000221,-20.082613,-33.066887
12000860,-21.140606,1.3434939
12000866,-29.15888,4.384497
12000869,-11.818281,28.590656
12000870,-32.038067,1.59205
12001121,9.863334,45.37168
12002342,-30.029764,-24.113356
12002762,-43.01615,14.270416
12003185,-3.878416,37.602554
12003188,12.118699,44.621555
12003192,-32.27866,-16.031002
12003198,10.607478,46.970814
12004173,10.542003,-11.542949
12004205,26.50449,0.9255478
12005396,-36.752014,-8.057171
12006508,-27.955765,2.4046896
12006510,-41.972523,-20.534575
12006520,-10.890286,40.770138
12006521,9.833344,39.69421
12006523,-9.553304,-18.731062
12006525,-12.432149,-32.08711
12006531,-1.4806607,-21.785156
12006532,3.1106997,-41.505917
12006539,13.23666,-33.011517
12006541,-35.888836,7.0468802
12006546,-29.052187,-15.467239
12006754,20.718641,17.710054
12006924,18.11167,-30.549295
12007194,-16.675545,-29.784292
12007222,0.32153767,-42.64533
12007941,20.773378,17.836792
12007958,-38.42283,-25.506588
12008081,-44.522373,12.664183
12010785,-42.951023,-3.0224042
12010810,-24.474262,6.2564855
12010830,-37.304554,28.606743
12010861,-27.273275,-19.652542
12011120,-29.791397,26.590021
12011121,-29.831375,26.669603
12011122,-21.222967,30.163654
12011129,13.282354,8.081376
12011133,9.819292,40.59967
12011222,-21.715359,21.598705
12011226,-10.599419,-41.527725
12011912,32.714413,-19.755919
12012293,23.814358,-12.409001
12012301,42.04675,-17.259405
12012302,-1.0258038,-7.5924196
12012316,-38.55994,27.07158
12013286,8.751316,-13.842371
12014418,12.213998,-44.41063
12014635,-40.377083,-21.340343
12014810,-42.10656,36.05506
12015755,3.3368256,47.43122
12015757,5.5683594,45.473408
12015769,2.3686678,-19.793625
12018454,-7.90462,-21.401073
12018929,-2.9916596,-5.2706237
